metric_i,N_i,metric_j,N_j,covariance,correlation
P4_D,145,P4_S_prime,145,0.03454405295067527,0.7381594441406207
P4_D,145,P4_S_prime,170,-0.0019089464939052387,-0.024456845704665914
P4_D,145,P4_D_prime,65,0.00016500259654095067,0.14504974351594202
P4_D,145,P4_D_prime,85,0.00021720525951065482,0.1724080051888536
P4_D,145,P4_D_prime,130,-0.000493583334840504,-0.19034203584805062
P4_D,145,P4_D_prime,145,7.731674964399333e-06,0.0038785574433809872
P4_D,145,P4_D_prime,170,0.0002473973024390796,0.08372135383546357
P4_D,170,P4_D,170,0.0715256815726393,1.0
P4_D,170,P4_S_prime,65,-0.004344896164474866,-0.1705505916548255
P4_D,170,P4_S_prime,85,0.001633469514768856,0.051830827565282886
P4_D,170,P4_S_prime,130,0.007495615472210813,0.08830362626525266
P4_D,170,P4_S_prime,145,-0.001764525621134132,-0.025019350085623893
P4_D,170,P4_S_prime,170,0.087727380796226,0.7457839223901597
P4_D,170,P4_D_prime,65,4.510830231854607e-05,0.026311998432379906
P4_D,170,P4_D_prime,85,-9.767237603237891e-05,-0.05144344070219764
P4_D,170,P4_D_prime,130,0.00016954164056345015,0.0433832185731532
P4_D,170,P4_D_prime,145,0.0003629843491735039,0.12082469432708687
P4_D,170,P4_D_prime,170,-0.0002988391529169483,-0.06710423734190726
P4_S_prime,65,P4_S_prime,65,0.009073823732175192,1.0
P4_S_prime,65,P4_S_prime,85,0.0010081292690864222,0.08981092440158997
P4_S_prime,65,P4_S_prime,130,0.0063885369893694095,0.21130437377107372
P4_S_prime,65,P4_S_prime,145,0.0021292058746664962,0.0847620680710794
P4_S_prime,65,P4_S_prime,170,-0.004923512209137568,-0.11751375555965278
P4_S_prime,65,P4_D_prime,65,-5.306048113497151e-05,-0.0868969171292429
P4_S_prime,65,P4_D_prime,85,6.297658154560863e-05,0.09312647645650143
P4_S_prime,65,P4_D_prime,130,-3.58984315784121e-05,-0.02579031789293763
P4_S_prime,65,P4_D_prime,145,-7.180931376797182e-06,-0.0067109563633091125
P4_S_prime,65,P4_D_prime,170,0.00013224345137971276,0.08337242939635595
P4_S_prime,85,P4_S_prime,85,0.013886211517778748,1.0
P4_S_prime,85,P4_S_prime,130,-0.0027633088174404117,-0.07388219281880884
P4_S_prime,85,P4_S_prime,145,0.00450886063368896,0.1450955126820008
P4_S_prime,85,P4_S_prime,170,-0.0030032005348807535,-0.057943043138862435
P4_S_prime,85,P4_D_prime,65,-5.2959937534840085e-05,-0.07011063986023582
P4_S_prime,85,P4_D_prime,85,-1.8241167207747628e-05,-0.021804693875394448
P4_S_prime,85,P4_D_prime,130,-0.0005037869552446981,-0.2925710968723555
P4_S_prime,85,P4_D_prime,145,1.517731910444582e-05,0.011465737239267054
P4_S_prime,85,P4_D_prime,170,-0.00012793759824568618,-0.06520032431893898
P4_S_prime,130,P4_S_prime,130,0.10073850832727799,1.0
P4_S_prime,130,P4_S_prime,145,0.019708619486442272,0.2354710414074137
P4_S_prime,130,P4_S_prime,170,0.01093474374796003,0.07832848162046145
P4_S_prime,130,P4_D_prime,65,6.95590987177912e-05,0.034188853943003944
P4_S_prime,130,P4_D_prime,85,0.0005941863883921383,0.2637024704880469
P4_S_prime,130,P4_D_prime,130,-0.0009077616325618621,-0.195726871815601
P4_S_prime,130,P4_D_prime,145,0.0006871343857353893,0.1927270757369401
P4_S_prime,130,P4_D_prime,170,0.0005861060515023197,0.11089753635148422
P4_S_prime,145,P4_S_prime,145,0.06954115258332766,1.0
P4_S_prime,145,P4_S_prime,170,-0.004847881695698414,-0.04179650104349335
P4_S_prime,145,P4_D_prime,65,0.0003071153905796986,0.18168078317159986
P4_S_prime,145,P4_D_prime,85,0.0004183846153269999,0.22348275773741907
P4_S_prime,145,P4_D_prime,130,-0.0005399123034056656,-0.14011307745310808
P4_S_prime,145,P4_D_prime,145,0.00020893844261354872,0.0705336272925718
P4_S_prime,145,P4_D_prime,170,0.00046537639246268316,0.1059807179071856
P4_S_prime,170,P4_S_prime,170,0.19345603760065685,1.0
P4_S_prime,170,P4_D_prime,65,0.00033556189806379326,0.11901723396359869
P4_S_prime,170,P4_D_prime,85,-0.00015669634068681432,-0.050183040171480814
P4_S_prime,170,P4_D_prime,130,0.00046641622249151267,0.0725702957917251
P4_S_prime,170,P4_D_prime,145,0.0007252327987112846,0.1467861569962512
P4_S_prime,170,P4_D_prime,170,2.017618013195785e-05,0.0027548074772436914
P4_D_prime,65,P4_D_prime,65,4.109067644275348e-05,1.0
P4_D_prime,65,P4_D_prime,85,8.24498517289401e-06,0.18117884686815644
P4_D_prime,65,P4_D_prime,130,7.665919100881796e-06,0.08184063238023237
P4_D_prime,65,P4_D_prime,145,9.239252691171531e-06,0.12831103476431746
P4_D_prime,65,P4_D_prime,170,1.9670502001699805e-05,0.18428383807605525
P4_D_prime,85,P4_D_prime,85,5.039894956096429e-05,1.0
P4_D_prime,85,P4_D_prime,130,-8.5600155973586e-06,-0.08251638694041902
P4_D_prime,85,P4_D_prime,145,1.5524775132573284e-06,0.019467643454159717
P4_D_prime,85,P4_D_prime,170,3.3453400710598134e-07,0.002829912326440002
P4_D_prime,130,P4_D_prime,130,0.00021352425724785037,1.0
P4_D_prime,130,P4_D_prime,145,-1.0517603895938465e-05,-0.0640755006948394
P4_D_prime,130,P4_D_prime,170,-1.9968423331105855e-06,-0.00820660661316738
P4_D_prime,145,P4_D_prime,145,0.00012618344634141888,1.0
P4_D_prime,145,P4_D_prime,170,-3.3138680926339457e-05,-0.1771648152688037
P4_D_prime,170,P4_D_prime,170,0.00027727652258632504,1.0
