n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D,sum_local_R2_S,sum_local_R2_D,sum_q_local_R2_S,sum_q_local_R2_D,sum_local_R2_I02,sum_local_R4_S,sum_local_R4_D,sum_q_local_R4_S,sum_q_local_R4_D,sum_local_R4_I02
65,7,4,second,0,10000,19,-9998,9998,3,0,0,3,138,-138,138,138,138,-138,-66.8605917159763313609,120.721420118343195266,66.8605917159763313609,-120.721420118343195266,-66.8605917159763313609,120.721420118343195266,0,0,46,-46,-46,46,0,0,0,0,0,0
65,7,4,second,0,10000,20,-9995,9995,2,0,0,2,90,-90,90,90,90,-90,-43.6047337278106508876,78.7313609467455621302,43.6047337278106508876,-78.7313609467455621302,-43.6047337278106508876,78.7313609467455621302,90,-90,0,0,0,0,0,45,-45,-45,45,0
65,7,4,second,0,10000,21,-9993,9993,9,0,0,9,396,-396,396,396,396,-396,-149.225088757396449704,269.43621301775147929,149.225088757396449704,-269.43621301775147929,-149.225088757396449704,269.43621301775147929,132,-132,0,0,0,0,0,-44,44,44,-44,0
65,7,4,second,0,10000,22,-9984,9984,15,0,0,15,645,-645,645,645,645,-645,-312.500591715976331361,564.241420118343195266,312.500591715976331361,-564.241420118343195266,-312.500591715976331361,564.241420118343195266,172,-172,43,-43,-43,43,0,0,0,0,0,0
65,7,4,second,0,10000,23,-9969,9969,19,0,0,19,798,-798,798,798,798,-798,-345.930887573964497041,624.602130177514792899,345.930887573964497041,-624.602130177514792899,-345.930887573964497041,624.602130177514792899,252,-252,84,-84,-84,84,0,210,-210,-210,210,0
65,7,4,second,0,10000,24,-9950,9950,33,1,1,33,1394,-1312,1394,1312,1394,-1312,-635.660118343195266272,1147.72828402366863905,595.93136094674556213,-1075.99526627218934911,-615.795739644970414201,1111.86177514792899408,328,-328,-123,123,123,-123,0,-82,82,82,-82,0
65,7,4,second,0,10000,25,-9916,9918,56,0,0,56,2240,-2240,2240,2240,2240,-2240,-1007.75384615384615385,1819.56923076923076923,1007.75384615384615385,-1819.56923076923076923,-1007.75384615384615385,1819.56923076923076923,200,-200,-400,400,400,-400,0,-240,240,240,-240,0
65,7,4,second,0,10000,26,-9860,9862,121,1,1,121,4758,-4680,4758,4680,4758,-4680,-2040.70153846153846154,3684.62769230769230769,2002.91076923076923077,-3616.39384615384615385,-2021.80615384615384615,3650.51076923076923077,546,-468,-468,468,468,-468,0,156,-156,-156,156,0
65,7,4,second,0,10000,27,-9738,9742,126,2,2,126,4864,-4712,4864,4712,4864,-4712,-2098.84118343195266272,3789.60284023668639053,2098.84118343195266272,-3789.60284023668639053,-2098.84118343195266272,3789.60284023668639053,874,-874,-266,190,228,-228,0,-190,114,152,-152,0
65,7,4,second,0,10000,28,-9610,9618,209,11,11,209,8140,-7326,8140,7326,8140,-7326,-3226.75029585798816568,5826.12071005917159763,2975.78082840236686391,-5372.97798816568047337,-3101.26556213017751479,5599.5493491124260355,740,-814,-1073,851,962,-962,0,1369,-1739,-1554,1554,0
65,7,4,second,0,10000,29,-9390,9420,276,14,14,276,10440,-9432,10440,9432,10440,-9432,-4430.24094674556213018,7999.10627218934911243,4151.1706508875739645,-7495.22556213017751479,-4290.70579881656804734,7747.16591715976331361,1728,-1296,-828,972,900,-900,0,972,-900,-936,936,0
65,7,4,second,0,10000,30,-9100,9158,367,19,19,367,13510,-12180,13510,12180,13510,-12180,-5155.0485207100591716,9307.79644970414201183,4510.66745562130177515,-8144.32189349112426036,-4832.85798816568047337,8726.05917159763313609,1435,-1225,-1155,1085,1120,-1120,0,1820,-2100,-1960,1960,0
65,7,4,second,0,10000,31,-8714,8810,477,39,39,477,17544,-14892,17544,14892,17544,-14892,-6589.15976331360946746,11897.1834319526627219,5732.56899408284023669,-10350.549585798816568,-6160.86437869822485207,11123.866508875739645,1258,-850,-1870,1734,1802,-1802,0,2448,-1904,-2210,2142,34
65,7,4,second,0,10000,32,-8198,8372,681,69,69,681,24750,-20196,24750,20196,24750,-20196,-9113.3893491124260355,16454.8544378698224852,7962.22437869822485207,-14376.346508875739645,-8537.80686390532544379,15415.6004733727810651,2343,-1551,-2277,1881,2079,-2079,0,3828,-2706,-3267,3267,0
65,7,4,second,0,10000,33,-7448,7760,771,130,130,771,28832,-20512,28832,20512,28832,-20512,-10124.0501775147928994,18279.6724260355029586,7581.40970414201183432,-13688.7592899408284024,-8852.72994082840236686,15984.2158579881656805,3424,-2400,-2944,2240,2592,-2592,0,4928,-3840,-4544,4224,160
65,7,4,second,0,10000,34,-6547,7119,915,218,218,915,35123,-21607,35123,21607,35123,-21607,-11519.8861538461538462,20799.9507692307692308,7284.41301775147928994,-13152.5112426035502959,-9402.14958579881656805,16976.2310059171597633,2790,-1984,-2976,1550,2263,-2263,0,7161,-4371,-5859,5673,93
65,7,4,second,0,10000,35,-5414,6422,985,338,338,985,39690,-19410,39690,19410,39690,-19410,-12485.4887573964497041,22543.4130177514792899,6729.66390532544378698,-12150.8733727810650888,-9607.57633136094674556,17347.1431952662721893,1980,-600,-5040,2460,3750,-3750,0,7230,-2970,-5130,5070,30
65,7,4,second,0,10000,36,-4091,5775,1050,476,476,1050,44254,-16646,44254,16646,44254,-16646,-13909.9100591715976331,25115.3041420118343195,5929.27479289940828402,-10705.7155029585798817,-9919.59242603550295858,17910.5098224852071006,2494,522,-4263,2291,3277,-3277,0,8990,-2842,-6061,5771,145
65,7,4,second,0,10000,37,-2565,5201,958,622,622,958,44240,-9408,44240,9408,44240,-9408,-13837.2355029585798817,24984.085207100591716,3065.89727810650887574,-5535.68946745562130178,-8451.5663905325443787,15259.8873372781065089,1904,784,-5236,1428,3332,-3332,0,7504,-1904,-4760,4648,56
65,7,4,second,0,10000,38,-985,4865,841,866,866,841,46089,675,46089,-675,46089,675,-14585.7834319526627219,26335.6402366863905325,640.989585798816568047,-1157.35100591715976331,-7613.38650887573964497,13746.4956213017751479,1836,1296,-4968,864,2916,-2916,0,7641,891,-3456,3294,81
65,7,4,second,0,10000,39,722,4890,701,948,948,701,42874,6422,42874,-6422,42874,6422,-13415.7230769230769231,24223.0153846153846154,-2254.84923076923076923,4071.28615384615384615,-5580.43692307692307692,10075.8646153846153846,208,312,-5564,-936,2314,-2314,0,6708,884,-3016,2808,104
65,7,4,second,0,10000,40,2371,5137,526,1015,1015,526,38525,12225,38525,-12225,38525,12225,-12003.4142011834319527,21672.9940828402366864,-3936.53846153846153846,7107.69230769230769231,-4033.4378698224852071,7282.65088757396449704,-50,600,-5400,-1500,1950,-1950,0,6050,1750,-2300,2000,150
65,7,4,second,0,10000,41,3912,5626,391,1058,1058,391,34776,16008,34776,-16008,34776,16008,-11662.8127810650887574,21058.0146745562130178,-5965.12757396449704142,10770.4501775147928994,-2848.84260355029585799,5143.78224852071005917,-360,696,-3840,-912,1464,-1464,0,5016,1992,-1584,1440,72
65,7,4,second,0,10000,42,5361,6293,231,965,965,231,27508,16882,27508,-16882,27508,16882,-9449.63029585798816568,17061.9607100591715976,-5816.8714792899408284,10502.7635502958579882,-1816.37940828402366864,3279.59857988165680473,-1403,-391,-4163,-2553,805,-805,0,4025,1955,-1150,920,115
65,7,4,second,0,10000,43,6557,7027,128,856,856,128,21648,16016,21648,-16016,21648,16016,-7994.20118343195266272,14434.0828402366863905,-6054.27502958579881657,10931.4120710059171598,-969.963076923076923077,1751.33538461538461538,-1496,-660,-3696,-2376,660,-660,0,2794,2222,-374,198,88
