label,n,m00,m01,m10,m11,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,sum_global_twice,global_twice_score_t,global_twice_score_lambda,sum_epsilon_sign,epsilon_sign_score_t,epsilon_sign_score_lambda,sum_local_twice,local_twice_score_t,local_twice_score_lambda
N340_18_4,340,18,-4,4,18,4,19,15500003800,15500004000,200,-140,44,277712,299024,-46064,3,2184,1712,28,1304,936,-5,48,88
N340_18_4,340,18,-4,4,18,8,19,15500003800,15500004000,200,-140,44,277712,299024,-46064,3,2184,1712,28,1304,936,-2,-80,-32
N260_16_2,260,16,-2,2,16,2,20,15500004000,15500004200,200,208,-208,208800,173024,896,-5,2588,1428,-4,880,80,-2,-40,-32
N260_16_2,260,16,-2,2,16,4,20,15500004000,15500004200,200,208,-208,208800,173024,896,-5,2588,1428,-4,880,80,2,-112,216
N260_16_2,260,16,-2,2,16,8,20,15500004000,15500004200,200,208,-208,208800,173024,896,-5,2588,1428,-4,880,80,-4,-132,28
N340_18_4,340,18,-4,4,18,2,20,15500004000,15500004200,200,-140,-244,289808,234512,-24080,-4,2560,1600,-4,1040,640,1,84,-44
N340_18_4,340,18,-4,4,18,4,20,15500004000,15500004200,200,-140,-244,289808,234512,-24080,-4,2560,1600,-4,1040,640,-1,88,-72
N340_18_4,340,18,-4,4,18,8,20,15500004000,15500004200,200,-140,-244,289808,234512,-24080,-4,2560,1600,-4,1040,640,-3,52,-84
N260_16_2,260,16,-2,2,16,2,21,15500004200,15500004400,200,1040,176,232544,238112,0,11,3032,1656,6,256,-1040,1,-72,-72
N260_16_2,260,16,-2,2,16,4,21,15500004200,15500004400,200,1040,176,232544,238112,0,11,3032,1656,6,256,-1040,2,84,28
N260_16_2,260,16,-2,2,16,8,21,15500004200,15500004400,200,1040,176,232544,238112,0,11,3032,1656,6,256,-1040,-3,-120,32
N340_18_4,340,18,-4,4,18,2,21,15500004200,15500004400,200,804,12,262928,255632,14896,1,2776,1960,6,384,-832,-1,12,-4
N340_18_4,340,18,-4,4,18,4,21,15500004200,15500004400,200,804,12,262928,255632,14896,1,2776,1960,6,384,-832,0,-8,-96
N340_18_4,340,18,-4,4,18,8,21,15500004200,15500004400,200,804,12,262928,255632,14896,1,2776,1960,6,384,-832,-1,12,36
N260_16_2,260,16,-2,2,16,2,22,15500004400,15500004600,200,-528,880,221312,206912,-35744,3,1844,1660,-34,232,-888,-3,-20,68
N260_16_2,260,16,-2,2,16,4,22,15500004400,15500004600,200,-528,880,221312,206912,-35744,3,1844,1660,-34,232,-888,-4,0,80
N260_16_2,260,16,-2,2,16,8,22,15500004400,15500004600,200,-528,880,221312,206912,-35744,3,1844,1660,-34,232,-888,0,24,-24
N340_18_4,340,18,-4,4,18,2,22,15500004400,15500004600,200,-732,948,287088,275440,-20304,33,2352,1968,-34,448,-1072,0,32,32
N340_18_4,340,18,-4,4,18,4,22,15500004400,15500004600,200,-732,948,287088,275440,-20304,33,2352,1968,-34,448,-1072,-3,88,-40
N340_18_4,340,18,-4,4,18,8,22,15500004400,15500004600,200,-732,948,287088,275440,-20304,33,2352,1968,-34,448,-1072,0,-136,-16
N260_16_2,260,16,-2,2,16,2,23,15500004600,15500004800,200,-412,-28,201232,223440,-8400,3,2428,1436,16,168,-232,3,52,-132
N260_16_2,260,16,-2,2,16,4,23,15500004600,15500004800,200,-412,-28,201232,223440,-8400,3,2428,1436,16,168,-232,0,100,4
N260_16_2,260,16,-2,2,16,8,23,15500004600,15500004800,200,-412,-28,201232,223440,-8400,3,2428,1436,16,168,-232,3,-52,-28
N340_18_4,340,18,-4,4,18,2,23,15500004600,15500004800,200,-364,436,246480,271312,-5040,-2,2656,1792,16,-48,-368,-3,-128,8
N340_18_4,340,18,-4,4,18,4,23,15500004600,15500004800,200,-364,436,246480,271312,-5040,-2,2656,1792,16,-48,-368,-5,24,0
N340_18_4,340,18,-4,4,18,8,23,15500004600,15500004800,200,-364,436,246480,271312,-5040,-2,2656,1792,16,-48,-368,-4,48,104
N260_16_2,260,16,-2,2,16,2,24,15500004800,15500005000,200,-348,-212,214256,204976,10672,13,2816,1456,4,1448,296,1,-64,64
N260_16_2,260,16,-2,2,16,4,24,15500004800,15500005000,200,-348,-212,214256,204976,10672,13,2816,1456,4,1448,296,0,-52,132
N260_16_2,260,16,-2,2,16,8,24,15500004800,15500005000,200,-348,-212,214256,204976,10672,13,2816,1456,4,1448,296,-4,12,52
N340_18_4,340,18,-4,4,18,2,24,15500004800,15500005000,200,-260,-684,261488,275888,-6608,8,2820,1748,4,1952,320,3,-72,16
N340_18_4,340,18,-4,4,18,4,24,15500004800,15500005000,200,-260,-684,261488,275888,-6608,8,2820,1748,4,1952,320,-3,124,28
N340_18_4,340,18,-4,4,18,8,24,15500004800,15500005000,200,-260,-684,261488,275888,-6608,8,2820,1748,4,1952,320,0,28,-116
N260_16_2,260,16,-2,2,16,2,25,15500005000,15500005200,200,-32,-416,222944,224672,10944,-21,2496,1392,0,1464,8,-3,-48,80
N260_16_2,260,16,-2,2,16,4,25,15500005000,15500005200,200,-32,-416,222944,224672,10944,-21,2496,1392,0,1464,8,2,104,32
N260_16_2,260,16,-2,2,16,8,25,15500005000,15500005200,200,-32,-416,222944,224672,10944,-21,2496,1392,0,1464,8,1,32,-16
N340_18_4,340,18,-4,4,18,2,25,15500005000,15500005200,200,8,376,294144,308736,-11904,5,2468,2252,0,1912,-1640,0,-108,20
N340_18_4,340,18,-4,4,18,4,25,15500005000,15500005200,200,8,376,294144,308736,-11904,5,2468,2252,0,1912,-1640,-1,-148,108
N340_18_4,340,18,-4,4,18,8,25,15500005000,15500005200,200,8,376,294144,308736,-11904,5,2468,2252,0,1912,-1640,0,-76,84
N260_16_2,260,16,-2,2,16,2,26,15500005200,15500005400,200,176,136,210464,201632,5376,15,2288,1800,-32,1232,512,0,20,-52
N260_16_2,260,16,-2,2,16,4,26,15500005200,15500005400,200,176,136,210464,201632,5376,15,2288,1800,-32,1232,512,-2,152,-32
N260_16_2,260,16,-2,2,16,8,26,15500005200,15500005400,200,176,136,210464,201632,5376,15,2288,1800,-32,1232,512,-3,-132,76
N340_18_4,340,18,-4,4,18,2,26,15500005200,15500005400,200,88,384,264032,288992,-1664,23,2624,1544,-32,1656,-88,-1,-24,-88
