N,batch_deleted,first_primary,first_iota_pair,first_smith_site_pair,second_primary,second_iota_pair,second_smith_site_pair
425,38,-0.06826525617483392,-0.06826525617483392,-0.06813737395111645,-0.06735462454723484,-0.06735462454723484,-0.06727721944051619
425,39,-0.06723515440705614,-0.06723515440705614,-0.06711660717348494,-0.06583277864900956,-0.06583277864900956,-0.0657653332299669
425,40,-0.06824509471635674,-0.06824509471635674,-0.06812396777665237,-0.06727269347562652,-0.06727269347562652,-0.06719084456796455
425,41,-0.07045347573270477,-0.07045347573270477,-0.0703356997903458,-0.0672921331987752,-0.0672921331987752,-0.06721197313235142
425,42,-0.06906268162541712,-0.06906268162541712,-0.06895234053372783,-0.06704231658726766,-0.06704231658726766,-0.06696604613488676
425,43,-0.07007643584459472,-0.07007643584459472,-0.06994683088282115,-0.06532648067814038,-0.06532648067814038,-0.0652553685615719
425,44,-0.07082204445938942,-0.07082204445938942,-0.07069869988733543,-0.06820516900904457,-0.06820516900904457,-0.06811945111293527
425,45,-0.06896973304988699,-0.06896973304988699,-0.06885063525094871,-0.0669125883178352,-0.0669125883178352,-0.06683981124429648
425,46,-0.06968334456145459,-0.06968334456145459,-0.06956767606500325,-0.06731387929546595,-0.06731387929546595,-0.06723509712022656
425,47,-0.06991649816215867,-0.06991649816215867,-0.06978984333819713,-0.06624440200348325,-0.06624440200348325,-0.06616441682153848
425,48,-0.06844164433371795,-0.06844164433371795,-0.06833289191011999,-0.06717363795025212,-0.06717363795025212,-0.06710776661921083
425,49,-0.06870452863159777,-0.06870452863159777,-0.06858365756673881,-0.06789478942370196,-0.06789478942370196,-0.06781681628987415
425,50,-0.07026351638080054,-0.07026351638080054,-0.0701295829906674,-0.0661178518738348,-0.0661178518738348,-0.06604183422525474
425,51,-0.0711617384696242,-0.0711617384696242,-0.07103412784086904,-0.06701382087539712,-0.06701382087539712,-0.06694329699943007
425,52,-0.06889863571799952,-0.06889863571799952,-0.0687855066168656,-0.06757952894748465,-0.06757952894748465,-0.06750828317077168
425,53,-0.06923571192061513,-0.06923571192061513,-0.06911203882319068,-0.0676515622316899,-0.0676515622316899,-0.06757599232933033
425,54,-0.06818415900029905,-0.06818415900029905,-0.06806546378613312,-0.06749978933485615,-0.06749978933485615,-0.0674196441711002
425,55,-0.06971698227819896,-0.06971698227819896,-0.06959744020446391,-0.06726043443179242,-0.06726043443179242,-0.06718183480261826
425,56,-0.06934651928863023,-0.06934651928863023,-0.06922560501541128,-0.06633663570047081,-0.06633663570047081,-0.06625172466807924
425,57,-0.0702576304285976,-0.0702576304285976,-0.07013703750040422,-0.06673681862189257,-0.06673681862189257,-0.06667509378638947
425,58,-0.0702764206082021,-0.0702764206082021,-0.07015418637791015,-0.06853974332982248,-0.06853974332982248,-0.06846244324478488
425,59,-0.06967034779700862,-0.06967034779700862,-0.06955714949418547,-0.06698377243482048,-0.06698377243482048,-0.06690522421550094
425,60,-0.06949914525686211,-0.06949914525686211,-0.0693720514230887,-0.06573981075104157,-0.06573981075104157,-0.06566276109890282
