partition,components,shared,activation16
01012331,4,1,0
01012332,4,0,0
01012333,4,0,0
01012334,5,0,0
01012340,5,1,0
01012341,5,1,0
01012342,5,0,0
01012343,5,0,0
01012344,5,0,0
01012345,6,0,0
01020000,3,1,0
01020001,3,2,0
01020002,3,2,0
01020003,4,1,0
01020010,3,2,0
01020011,3,2,-4
01020012,3,3,-16
01020013,4,2,8
01020020,3,2,0
01020021,3,3,-16
01020022,3,2,-4
01020023,4,2,8
01020030,4,1,0
01020031,4,2,8
01020032,4,2,8
01020033,4,1,0
01020034,5,1,0
01020100,3,2,0
01020101,3,2,-8
01020102,3,3,-32
01020103,4,2,16
01020110,3,2,-4
01020111,3,2,0
01020112,3,3,-18
01020113,4,2,8
01020120,3,3,-16
01020121,3,3,-36
01020122,3,3,-18
01020123,4,3,20
01020130,4,2,8
01020131,4,2,16
01020132,4,3,16
01020133,4,2,12
01020134,5,2,8
01020200,3,2,0
01020201,3,3,-32
01020202,3,2,-8
01020203,4,2,16
01020210,3,3,-16
01020211,3,3,-18
01020212,3,3,-36
01020213,4,3,20
01020220,3,2,-4
01020221,3,3,-18
01020222,3,2,0
01020223,4,2,8
01020230,4,2,8
01020231,4,3,16
01020232,4,2,16
01020233,4,2,12
01020234,5,2,8
01020300,4,1,0
01020301,4,2,16
01020302,4,2,16
01020303,4,1,0
01020304,5,1,0
01020310,4,2,8
01020311,4,2,8
01020312,4,3,20
01020313,4,2,24
01020314,5,2,0
01020320,4,2,8
01020321,4,3,20
01020322,4,2,8
01020323,4,2,24
01020324,5,2,0
01020330,4,1,0
01020331,4,2,12
01020332,4,2,12
01020333,4,1,0
01020334,5,1,0
01020340,5,1,0
01020341,5,2,8
01020342,5,2,8
01020343,5,1,0
01020344,5,1,0
01020345,6,1,0
01021000,3,2,0
01021001,3,2,-4
01021002,3,3,-16
01021003,4,2,8
01021010,3,2,-8
01021011,3,2,0
01021012,3,3,-36
01021013,4,2,16
01021020,3,3,-32
01021021,3,3,-18
01021022,3,3,-18
01021023,4,3,16
01021030,4,2,16
01021031,4,2,8
01021032,4,3,20
01021033,4,2,12
01021034,5,2,8
01021100,3,2,-4
01021101,3,2,0
