n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
65,8,1,first,86,10000,98,6198,44566,385811,14652518,457612,8752,28588,239260,9117776,284107,5378
65,7,4,second,86,10000,100,6272,44796,385811,14652518,457819,8864,29027,241769,9198924,286643,5753
65,8,1,first,87,10000,-11,6223,44797,384725,14573156,455254,8772,28776,239486,9100576,283516,5627
65,7,4,second,87,10000,-3,6347,44535,384725,14573156,455787,8646,29149,244447,9295374,289707,5534
65,8,1,first,88,10000,144,6250,44896,385646,14644398,457448,8548,28915,241159,9189066,286161,5253
65,7,4,second,88,10000,41,6237,44867,385646,14644398,457710,8702,28868,240771,9178570,286045,5435
65,8,1,first,89,10000,-1,6305,44717,385240,14611470,456526,8910,28968,242999,9246200,288285,5663
65,7,4,second,89,10000,-53,6325,44479,385240,14611470,456229,8932,29167,243508,9256234,288224,5868
65,8,1,first,90,10000,57,6285,44721,385578,14633756,456997,8600,29023,242333,9222518,287317,5394
65,7,4,second,90,10000,-30,6242,44575,385578,14633756,456934,8637,28594,240801,9167782,285553,5426
65,8,1,first,91,10000,57,6295,44655,385644,14645222,457736,8498,29078,242701,9240732,288280,5523
65,7,4,second,91,10000,49,6243,44819,385644,14645222,457677,8640,28975,240585,9157116,285509,5446
65,8,1,first,92,10000,21,6265,44573,385740,14650254,458075,8504,28795,241700,9207876,287210,5314
65,7,4,second,92,10000,98,6198,44763,385740,14650254,457874,8427,28617,239173,9113090,284215,5121
65,8,1,first,93,10000,43,6257,44506,385461,14626178,457305,8803,28700,241535,9204744,287333,5499
65,7,4,second,93,10000,-1,6211,44558,385461,14626178,456674,8743,28591,239444,9113324,283559,5484
65,8,1,first,94,10000,4,6224,44685,385562,14635536,457289,8755,28708,239943,9133138,284758,5518
65,7,4,second,94,10000,57,6233,44866,385562,14635536,457318,8543,28920,240492,9161142,285674,5295
65,8,1,first,95,10000,-40,6256,44777,384909,14586180,456017,8971,29025,240739,9148262,285461,5795
65,7,4,second,95,10000,80,6284,44504,384909,14586180,455797,8810,28787,242053,9205172,286816,5387
65,8,1,first,96,10000,-111,6349,44591,385213,14611704,456665,8840,29322,244547,9302684,289713,5779
65,7,4,second,96,10000,32,6284,44752,385213,14611704,456281,8792,29247,241971,9201606,286466,5691
65,8,1,first,97,10000,-43,6223,44490,385227,14611468,457016,8659,28660,239652,9113790,284279,5529
65,7,4,second,97,10000,-16,6310,44879,385227,14611468,456328,8861,29288,242933,9234560,287787,5786
65,8,1,first,98,10000,-23,6213,44831,385266,14612602,456453,8940,28933,239278,9099442,283380,5686
65,7,4,second,98,10000,-62,6304,44566,385266,14612602,456801,8832,28967,242668,9222762,287660,5633
65,8,1,first,99,10000,-87,6337,44998,385754,14654832,457561,9167,29429,244389,9309848,289882,6026
65,7,4,second,99,10000,-27,6397,44643,385754,14654832,457822,8612,29500,246436,9376322,292260,5771
