n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,7,4,second,0,1000,42,532,622,25,111,111,25,3128,1978,3128,-1978,3128,1978,-1092.05633136094674556,1971.78319526627218935,-802.327100591715976331,1448.6570414201183432,-144.864615384615384615,261.563076923076923077,-161,-23
65,7,4,second,0,1000,43,668,708,11,78,78,11,1958,1474,1958,-1474,1958,1474,-756.784378698224852071,1366.42650887573964497,-628.877159763313609467,1135.48118343195266272,-63.9536094674556213018,115.472662721893491124,88,220
65,7,4,second,0,1000,44,757,775,6,71,71,6,1617,1365,1617,-1365,1617,1365,-640.989585798816568047,1157.35100591715976331,-600.291834319526627219,1083.86840236686390533,-20.3488757396449704142,36.7413017751479289941,-84,-42
65,7,4,second,0,1000,45,834,840,1,51,51,1,1040,1000,1040,-1000,1040,1000,-348.837869822485207101,629.850887573964497041,-329.457988165680473373,594.859171597633136095,-9.68994082840236686391,17.4958579881656804734,-200,-240
65,7,4,second,0,1000,46,886,890,0,39,39,0,741,741,741,-741,741,741,-303.779644970414201183,548.49514792899408284,-303.779644970414201183,548.49514792899408284,0,0,-19,-19
65,7,4,second,0,1000,47,925,929,1,23,23,1,432,396,432,-396,432,396,-191.860828402366863905,346.417988165680473373,-174.41893491124260355,314.925443786982248521,-8.72094674556213017751,15.746272189349112426,-54,-54
65,7,4,second,0,1000,48,949,951,1,21,21,1,374,340,374,-340,374,340,-131.783195266272189349,237.943668639053254438,-148.256094674556213018,267.686627218934911243,8.23644970414201183432,-14.8714792899408284024,-102,-68
65,7,4,second,0,1000,49,971,971,0,14,14,0,224,224,224,-224,224,224,-93.0234319526627218935,167.960236686390532544,-93.0234319526627218935,167.960236686390532544,0,0,-16,-16
65,7,4,second,0,1000,50,985,985,0,8,8,0,120,120,120,-120,120,120,-58.1396449704142011834,104.97514792899408284,-58.1396449704142011834,104.97514792899408284,0,0,-90,-90
65,7,4,second,0,1000,51,993,993,0,5,5,0,70,70,70,-70,70,70,-33.9147928994082840237,61.2355029585798816568,-33.9147928994082840237,61.2355029585798816568,0,0,-28,-28
