N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.085,20000,20,-2.0159219616700235e-124,-4.6219844539648486e-126,-2.062141806209672e-124,1.969702117130375e-124,5.779294619544116e-125,3.954234589062412e-126,5.989017296878194e-125,5.589712321791141e-125
325,0.08600000000000001,20000,20,-1.714149554231838e-123,-3.9456493476414925e-125,-1.7536060477082528e-123,1.6746930607554234e-123,4.9083041381375945e-124,3.361885756829228e-125,5.086622631915462e-124,4.7471269987479904e-124
325,0.08700000000000001,20000,20,-1.419407135700065e-122,-3.280142459662671e-124,-1.452208560296691e-122,1.3866057111034378e-122,4.059478178330613e-123,2.783488280816736e-124,4.207127455485896e-123,3.926036280292185e-123
325,0.088,20000,20,-1.1452759723826978e-121,-2.657129705013334e-123,-1.1718472694328314e-121,1.1187046753325644e-121,3.271543342975251e-122,2.245656790969561e-123,3.390670785525925e-122,3.1638904536296656e-122
325,0.089,20000,20,-9.009712709601345e-121,-2.098608245810406e-122,-9.219573534182389e-121,8.799851885020305e-121,2.5705828161037855e-121,1.7664349477217998e-122,2.6642938229365848e-121,2.485907541009672e-121
325,0.09,20000,20,-6.914386067927534e-120,-1.616936007740181e-121,-7.076079668701551e-120,6.752692467153513e-120,1.9703856311540474e-120,1.3554904343861008e-121,2.0422993821480812e-120,1.905413181162678e-120
325,0.091,20000,20,-5.179339183106917e-119,-1.2159992026993436e-120,-5.300939103376851e-119,5.057739262836982e-119,1.4741705365707687e-119,1.0152569465328662e-120,1.5280361971266057e-119,1.42550968267747e-119
325,0.092,20000,20,-3.788798740189992e-118,-8.930610794263577e-120,-3.8781048481326285e-118,3.6994926322473573e-118,1.0770837915438318e-118,7.426165063952266e-120,1.1164858723466942e-118,1.0414930966523624e-118
325,0.093,20000,20,-2.7080468361331233e-117,-6.408515688273195e-119,-2.7721319930158544e-117,2.643961679250391e-117,7.689135498320189e-118,5.307418594802948e-119,7.970749627208003e-118,7.434792105111481e-118
325,0.094,20000,20,-1.892135168765289e-116,-4.495479928629706e-118,-1.9370899680515868e-116,1.8471803694789926e-116,5.365938533921796e-117,3.7080544504032654e-118,5.562696234405135e-117,5.188255647087143e-117
325,0.095,20000,20,-1.2929942712371975e-115,-3.084211173004126e-117,-1.3238363829672384e-115,1.2621521595071557e-115,3.662360815823665e-116,2.5337279877978866e-117,3.796809995382618e-116,3.540960731192426e-116
325,0.096,20000,20,-8.64549955663069e-115,-2.0704377627867118e-116,-8.852543332909357e-115,8.43845578035202e-115,2.4458195299718213e-115,1.694047544968615e-116,2.5357142714136135e-115,2.3646596841458535e-115
325,0.097,20000,20,-5.658834421187221e-114,-1.3605817548233326e-115,-5.7948925966695544e-114,5.5227762457048894e-114,1.5989315810261827e-114,1.1087593018075359e-115,1.657769117974556e-114,1.545817873128182e-114
325,0.098,20000,20,-3.6274016714315135e-113,-8.756284560568218e-115,-3.714964517037196e-113,3.5398388258258316e-113,1.0236839804297085e-113,7.106952320083885e-115,1.0613983725854378e-113,9.896428812990057e-114
325,0.099,20000,20,-2.2781310552808952e-112,-5.521161901496475e-114,-2.33334267429586e-112,2.2229194362659304e-112,6.421183907680795e-113,4.463202570509874e-114,6.658034676072975e-113,6.207429689367057e-113
325,0.1,20000,20,-1.4023398222280301e-111,-3.41219317001709e-113,-1.4364617539282012e-111,1.3682178905278596e-111,3.947795012988679e-112,2.747286690103126e-113,4.093587335306708e-112,3.816237065556258e-112
325,0.101,20000,20,-8.464302149305006e-111,-2.0677644987969846e-112,-8.671078599184703e-111,8.257525699425304e-111,2.3798861440776488e-111,1.6581635957047469e-112,2.4678812466206705e-111,2.3004930776522614e-111
325,0.10200000000000001,20000,20,-5.0114005438064253e-110,-1.2291351051029554e-111,-5.134314054316721e-110,4.888487033296129e-110,1.4072997207337153e-110,9.817106914381423e-112,1.459396764459941e-110,1.3603018817424025e-110
325,0.10300000000000001,20000,20,-2.9115147429787275e-109,-7.169537031152996e-111,-2.983210113290257e-109,2.8398193726671976e-109,8.165968598486873e-110,5.703405772645419e-111,8.468632231651359e-110,7.892967197203589e-110
325,0.10400000000000001,20000,20,-1.6604582038887137e-108,-4.105184744543169e-110,-1.7015100513341456e-108,1.6194063564432823e-108,4.651324562098688e-109,3.252645890719498e-110,4.823931060571773e-109,4.495656080331798e-109
325,0.105,20000,20,-9.299050799809392e-108,-2.3082192110708765e-109,-9.52987272091648e-108,9.068228878702305e-108,2.6016331361461993e-108,1.8215609410814776e-109,2.6982952803018495e-108,2.5144689729105927e-108
325,0.106,20000,20,-5.1156321089727835e-107,-1.2748892181594442e-108,-5.2431210307887246e-107,4.9881431871568376e-107,1.4294343932753326e-107,1.0020821548870282e-108,1.482609256553922e-107,1.381491416781271e-107
325,0.107,20000,20,-2.7653755228151293e-106,-6.919313632721366e-108,-2.834568659142342e-106,2.6961823864879155e-106,7.717475670572325e-107,5.4170116337767185e-108,8.004918267582053e-107,7.45835271905882e-107
325,0.108,20000,20,-1.4694104912662521e-105,-3.6913807937969735e-107,-1.5063242992042215e-105,1.4324966833282822e-105,4.0956162953469707e-106,2.878413038252223e-107,4.2483485451566616e-106,3.957952191306025e-106
325,0.109,20000,20,-7.67719512034014e-105,-1.936360249049341e-106,-7.870831145245074e-105,7.483559095435206e-105,2.137137233544167e-105,1.503902123924718e-106,2.2169332945611116e-105,2.0652245179241295e-105
325,0.11,20000,20,-3.945162654998406e-104,-9.990504633104934e-106,-4.045067701329456e-104,3.845257608667358e-104,1.0968498536923335e-104,7.728436088517471e-106,1.137854749606851e-104,1.059901654287688e-104
325,0.111,20000,20,-1.9946146829370105e-103,-5.071325966929151e-105,-2.045327942606302e-103,1.9439014232677184e-103,5.538503584171518e-104,3.907492260361155e-105,5.745814609810179e-104,5.3517313356285953e-104
325,0.112,20000,20,-9.924537389839784e-103,-2.533458917595646e-104,-1.0177883281599344e-102,9.671191498080215e-103,2.752286139767023e-103,1.9443054450900823e-104,2.8554355886240257e-103,2.6593706140368664e-103
325,0.113,20000,20,-4.861169287642535e-102,-1.2459095126151505e-103,-4.985760238904049e-102,4.73657833638102e-102,1.3463955048666382e-102,9.523854870182606e-104,1.3969187571064609e-102,1.300892178242294e-102
325,0.114,20000,20,-2.3446026469668993e-101,-6.033346377141118e-103,-2.4049361107383102e-101,2.2842691831954877e-101,6.485574698632553e-102,4.593690972257618e-103,6.7292516098121615e-102,6.266144831544982e-102
325,0.115,20000,20,-1.1138109697559495e-100,-2.8776955601578015e-102,-1.1425879253575275e-100,1.0850340141543715e-100,3.0770653398940013e-101,2.1823641379270016e-102,3.1928235652651886e-101,2.97284277378597e-101
325,0.116,20000,20,-5.212909165291398e-100,-1.3522561444162904e-101,-5.348134779733028e-100,5.077683550849769e-100,1.438302045635999e-100,1.0214609844784307e-101,1.4924792297747358e-100,1.3895319170528775e-100
325,0.117,20000,20,-2.404279959318559e-99,-6.261961622238226e-101,-2.466899575540941e-99,2.3416603430961777e-99,6.625190735262227e-100,4.711457327611155e-101,6.875062896099891e-100,6.400294628755576e-100
325,0.11800000000000001,20000,20,-1.0930325774250294e-98,-2.8582890534490597e-100,-1.1216154679595196e-98,1.0644496868905387e-98,3.008074269693841e-99,2.1420747986813074e-100,3.1216703038267577e-99,2.9058502760908628e-99
325,0.11900000000000001,20000,20,-4.899239066164181e-98,-1.2863242851648988e-99,-5.02787149468067e-98,4.7706066376476914e-98,1.3465573832321157e-98,9.60205431261429e-100,1.3974736537732778e-98,1.3007462662210057e-98
325,0.12,20000,20,-2.1655751425767508e-97,-5.708802526974533e-99,-2.222663167846496e-97,2.1084871173070054e-97,5.94441274076144e-98,4.244685177074268e-99,6.169473491727668e-98,5.7419534607111704e-98
325,0.121,20000,20,-9.442045563220993e-97,-2.499130393414926e-98,-9.691958602562485e-97,9.192132523879497e-97,2.5884508970889567e-97,1.8508776874530067e-98,2.68657864074301e-97,2.5001932454638214e-97
325,0.122,20000,20,-4.061662107102137e-96,-1.0793910676876201e-97,-4.169601213870898e-96,3.953723000333376e-96,1.1120247182268854e-96,7.962648062396004e-98,1.154236082608285e-96,1.0740659971963379e-96
325,0.123,20000,20,-1.7241722131179786e-95,-4.6005422523447656e-97,-1.7701776356414264e-95,1.678166790594531e-95,4.7144036789005075e-96,3.380486243675872e-97,4.893590795288508e-96,4.553298471262618e-96
