# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
0	landing	01	45	0	0	0	0	0	-7	-1360	11
0	landing	12	45	0	0	0	0	0	-11	2912	227
0	global	-	46	8360	7693	7945	382720	308608	0	0	0
0	landing	01	46	0	0	0	0	0	-2	-32	2
0	landing	12	46	0	0	0	0	0	-19	316	85
0	global	-	47	4337	4161	4231	158464	131328	0	0	0
0	landing	01	47	0	0	0	0	0	0	0	0
0	landing	12	47	0	0	0	0	0	0	456	22
0	global	-	48	2064	1998	2031	58240	45568	0	0	0
0	landing	01	48	0	0	0	0	0	-1	-32	1
0	landing	12	48	0	0	0	0	0	0	-128	10
0	global	-	49	965	949	954	24832	22016	0	0	0
0	landing	01	49	0	0	0	0	0	0	0	0
0	landing	12	49	0	0	0	0	0	0	0	2
0	global	-	50	387	386	387	9984	6144	0	0	0
0	landing	01	50	0	0	0	0	0	0	0	0
0	landing	12	50	0	0	0	0	0	0	0	0
0	global	-	51	133	133	133	3072	3072	0	0	0
0	landing	01	51	0	0	0	0	0	0	0	0
0	landing	12	51	0	0	0	0	0	0	0	0
0	global	-	52	46	46	46	0	0	0	0	0
0	landing	01	52	0	0	0	0	0	0	0	0
0	landing	12	52	0	0	0	0	0	0	0	0
0	global	-	53	11	11	11	0	0	0	0	0
0	landing	01	53	0	0	0	0	0	0	0	0
0	landing	12	53	0	0	0	0	0	0	0	0
0	global	-	54	3	3	3	0	0	0	0	0
0	landing	01	54	0	0	0	0	0	0	0	0
0	landing	12	54	0	0	0	0	0	0	0	0
0	global	-	55	4	4	4	0	0	0	0	0
0	landing	01	55	0	0	0	0	0	0	0	0
0	landing	12	55	0	0	0	0	0	0	0	0
0	global	-	56	0	0	0	0	0	0	0	0
0	landing	01	56	0	0	0	0	0	0	0	0
0	landing	12	56	0	0	0	0	0	0	0	0
0	global	-	57	0	0	0	0	0	0	0	0
0	landing	01	57	0	0	0	0	0	0	0	0
0	landing	12	57	0	0	0	0	0	0	0	0
0	global	-	58	0	0	0	0	0	0	0	0
0	landing	01	58	0	0	0	0	0	0	0	0
