sector,full_axis_tilted_rectangle,pooled_four_cell_rectangle,det_lower,det_upper,det_midpoint,det_excludes_zero,p4_01_absent,p4_01_present,p4_12_absent,p4_12_present
086c3c8d3019f7cfcbeb,0,0,0,0,0.0,0,-4.295759556385675e-10,0.0,3.9217449535100904e-11,0.0
08f9452fdf9ff07664b9,0,0,0,0,0.0,0,1.0805965907910232e-09,0.0,6.887678979891948e-11,0.0
0923851d7307f856dfb1,0,0,0,0,0.0,0,-3.096157418333503e-09,0.0,6.04933893683968e-10,0.0
093ca922a702f575e866,0,0,0,0,0.0,0,-2.3177186914585972e-09,0.0,-1.6246280030223617e-10,0.0
09429983a93e57fefb48,0,0,0,0,0.0,0,-3.881836852168409e-10,0.0,5.539334072935202e-12,0.0
09779c7c71bed4706851,0,0,0,0,0.0,0,5.600494892666414e-10,0.0,0.0,0.0
099cfb3c04ca5cfef557,0,0,0,0,0.0,0,-1.8146367582960618e-09,0.0,0.0,0.0
09c33ff220c96529105d,0,1,-11401872887517636041772501999169/20000000000000000000000000000000000000000000000000,-14252341109397045052215627498961/25000000000000000000000000000000000000000000000000,-5.700936443758818e-19,1,3.4279326486215533e-09,2.551991085945163e-09,6.987893218234054e-10,3.5391899440001336e-10
09eb9dd65f453f010bf6,0,0,0,0,0.0,0,-2.8520089576647672e-11,0.0,0.0,0.0
09ebd51b12ad1b07aacb,0,0,0,0,0.0,0,-1.1445125886525703e-09,0.0,2.718115107904099e-10,0.0
09eff31f366d0389cee0,0,0,0,0,0.0,0,-2.4199781645342627e-11,0.0,0.0,0.0
09fdfb700e533f16cf2d,0,0,0,0,0.0,0,3.7546236296036695e-09,0.0,-1.416448729352471e-09,0.0
0a3661bb7b2536c83968,0,1,-2650157717042444992587726020293/10000000000000000000000000000000000000000000000000,-26501577170424449925877260202929/100000000000000000000000000000000000000000000000000,-2.650157717042445e-19,1,-1.6553098789958315e-09,-1.5388803755396823e-09,1.1072358613546044e-09,1.1894566297345102e-09
0a4fab01af14e4e2d850,0,0,0,0,0.0,0,0.0,0.0,4.1635245636732616e-11,0.0
0a6a1c194ab4f06b773a,0,0,0,0,0.0,0,1.7961402644445081e-09,0.0,-1.9837901198904812e-10,0.0
0a8cbb926b4e2a1c06e0,0,0,0,0,0.0,0,6.0302061283111486e-09,0.0,-1.382974892645087e-09,0.0
0ad96b688c8a262ec067,0,0,0,0,0.0,0,-2.5515081395075645e-10,0.0,0.0,0.0
0afa949155ff4fb2810a,0,0,0,0,0.0,0,-6.350518045149515e-09,0.0,-4.730986411952085e-11,0.0
0b3d0090211f82bd4a76,0,0,0,0,0.0,0,8.4371185507226e-10,0.0,4.977739414370996e-10,0.0
0b663fa1b1d73cc77eaf,0,0,0,0,0.0,0,3.6788017150631457e-10,0.0,-1.4868204287925956e-09,0.0
0bc01f0d727eb320cf2e,0,0,0,0,0.0,0,4.0619455847258025e-09,3.3586280091884176e-09,0.0,0.0
0bc87d0226ef0034eb3f,0,0,0,0,0.0,0,1.078799663592383e-10,9.595252680939323e-11,0.0,0.0
0be4f85ec25ffc8fee47,0,0,0,0,0.0,0,-8.343536260760888e-12,0.0,0.0,0.0
0c52f62c2a92207bce2d,0,0,0,0,0.0,0,0.0,0.0,4.9272756856138e-10,0.0
0c5c97517638aefd030c,0,0,0,0,0.0,0,1.1969335772349313e-10,0.0,0.0,0.0
0ca616960c8babb535a7,0,0,0,0,0.0,0,3.0395352367206167e-10,2.4897995530582497e-10,0.0,0.0
0d17d3672b7012e3f16a,0,0,0,0,0.0,0,0.0,0.0,-5.19687431354363e-11,0.0
0dcb73630e026462ffe9,0,0,0,0,0.0,0,0.0,0.0,1.1738007817261367e-11,0.0
0e15406b44cf360f53bd,0,0,0,0,0.0,0,1.9718022818706776e-09,0.0,-2.8612951149433607e-10,0.0
0e9cb398f044628bcf66,0,1,-133473457922497534497715587/50000000000000000000000000000000000000000000000000,-266946915844995068995431173/100000000000000000000000000000000000000000000000000,-2.669469158449951e-24,1,-1.0364696849732749e-11,-9.044732110240393e-12,4.395985022979696e-12,4.093701597555582e-12
