geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_3,1,3,2,28,169,113,19097,37912,45,2026102632,225000,5000,114473588,2620855587962,48,1098919,25158952053,13,297503,6808348855,2,45644,1041687880
lambda_1_3,1,3,2,28,169,113,19097,37912,46,2026102632,230000,5000,114472781,2620818421477,41,938893,21500566845,16,366123,8377938759,2,45795,1048591325
lambda_1_3,1,3,2,28,169,113,19097,37912,47,2026102632,235000,5000,114474541,2620898983181,35,801358,18347948308,9,206089,4719194835,2,45844,1050836218
lambda_1_3,1,3,2,28,169,113,19097,37912,48,2026102632,240000,5000,114472397,2620801697665,37,847232,19400193632,15,343264,7855414016,1,22981,528126361
lambda_1_3,1,3,2,28,169,113,19097,37912,49,2026102632,245000,5000,114470699,2620724210105,42,960339,21958434965,12,275044,6304152264,4,91553,2095490701
lambda_1_3,1,3,2,28,169,113,19097,37912,50,2026102632,250000,5000,114469577,2620671688061,37,846909,19385377049,12,274652,6286184664,2,45790,1048362122
lambda_1_3,1,3,2,28,169,113,19097,37912,51,2026102632,255000,5000,114474814,2620911672036,46,1052616,24087069460,13,297607,6813130235,2,45760,1046993602
lambda_1_3,1,3,2,28,169,113,19097,37912,52,2026102632,260000,5000,114469700,2620677862144,42,961523,22012648589,21,480494,10994075812,4,91478,2092066486
lambda_1_3,1,3,2,28,169,113,19097,37912,53,2026102632,265000,5000,114474543,2620899245161,37,846841,19382266689,17,389281,8914134511,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,54,2026102632,270000,5000,114468491,2620622256537,40,916024,20977618204,17,389002,8901362752,2,45761,1047037841
lambda_1_3,1,3,2,28,169,113,19097,37912,55,2026102632,275000,5000,114476275,2620978765587,38,869478,19894609534,13,297574,6811595654,4,91632,2099124790
lambda_1_3,1,3,2,28,169,113,19097,37912,56,2026102632,280000,5000,114470640,2620720441622,37,847111,19394673183,12,274739,6290146231,3,68636,1570301426
lambda_1_3,1,3,2,28,169,113,19097,37912,57,2026102632,285000,5000,114471277,2620749874367,48,1098985,25161916057,11,251629,5756138855,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,58,2026102632,290000,5000,114466517,2620532065851,53,1213001,27761867145,13,298096,6835502942,2,45896,1053221416
lambda_1_3,1,3,2,28,169,113,19097,37912,59,2026102632,295000,5000,114472661,2620813636733,41,938315,21474122265,17,389662,8931617788,1,22773,518609529
lambda_1_3,1,3,2,28,169,113,19097,37912,60,2026102632,300000,5000,114468992,2620644929568,36,824089,18864619163,14,320502,7337284188,4,91569,2096234393
lambda_1_3,1,3,2,28,169,113,19097,37912,61,2026102632,305000,5000,114468075,2620603250833,38,869786,19908740688,19,434906,9954961880,2,45847,1050974629
