design,batch,samples,point,category,count
pell_Dminus2_N30,14,5000,minus,"rank1:1,0",599
pell_Dminus2_N30,14,5000,minus,"rank1:1,1",4
pell_Dminus2_N30,14,5000,minus,"rank1:2,-1",3
pell_Dminus2_N30,14,5000,minus,rank2,1407
pell_Dminus2_N30,14,5000,center,rank0,1530
pell_Dminus2_N30,14,5000,center,"rank1:0,1",602
pell_Dminus2_N30,14,5000,center,"rank1:1,-2",9
pell_Dminus2_N30,14,5000,center,"rank1:1,-1",645
pell_Dminus2_N30,14,5000,center,"rank1:1,0",594
pell_Dminus2_N30,14,5000,center,"rank1:1,1",4
pell_Dminus2_N30,14,5000,center,"rank1:2,-1",4
pell_Dminus2_N30,14,5000,center,rank2,1612
pell_Dminus2_N30,14,5000,plus,rank0,1344
pell_Dminus2_N30,14,5000,plus,"rank1:0,1",581
pell_Dminus2_N30,14,5000,plus,"rank1:1,-2",14
pell_Dminus2_N30,14,5000,plus,"rank1:1,-1",648
pell_Dminus2_N30,14,5000,plus,"rank1:1,0",600
pell_Dminus2_N30,14,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,14,5000,plus,"rank1:2,-1",4
pell_Dminus2_N30,14,5000,plus,rank2,1804
pell_Dminus2_N30,15,5000,minus,rank0,1805
pell_Dminus2_N30,15,5000,minus,"rank1:0,1",626
pell_Dminus2_N30,15,5000,minus,"rank1:1,-2",6
pell_Dminus2_N30,15,5000,minus,"rank1:1,-1",625
pell_Dminus2_N30,15,5000,minus,"rank1:1,0",544
pell_Dminus2_N30,15,5000,minus,"rank1:1,1",7
pell_Dminus2_N30,15,5000,minus,"rank1:2,-1",6
pell_Dminus2_N30,15,5000,minus,rank2,1381
pell_Dminus2_N30,15,5000,center,rank0,1598
pell_Dminus2_N30,15,5000,center,"rank1:0,1",634
pell_Dminus2_N30,15,5000,center,"rank1:1,-2",7
pell_Dminus2_N30,15,5000,center,"rank1:1,-1",639
pell_Dminus2_N30,15,5000,center,"rank1:1,0",545
pell_Dminus2_N30,15,5000,center,"rank1:1,1",7
pell_Dminus2_N30,15,5000,center,"rank1:2,-1",5
pell_Dminus2_N30,15,5000,center,rank2,1565
pell_Dminus2_N30,15,5000,plus,rank0,1383
pell_Dminus2_N30,15,5000,plus,"rank1:0,1",621
pell_Dminus2_N30,15,5000,plus,"rank1:1,-2",5
pell_Dminus2_N30,15,5000,plus,"rank1:1,-1",642
pell_Dminus2_N30,15,5000,plus,"rank1:1,0",566
pell_Dminus2_N30,15,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,15,5000,plus,"rank1:2,-1",4
pell_Dminus2_N30,15,5000,plus,rank2,1774
pell_Dminus2_N30,16,5000,minus,rank0,1749
pell_Dminus2_N30,16,5000,minus,"rank1:0,1",642
pell_Dminus2_N30,16,5000,minus,"rank1:1,-2",10
pell_Dminus2_N30,16,5000,minus,"rank1:1,-1",629
pell_Dminus2_N30,16,5000,minus,"rank1:1,0",589
pell_Dminus2_N30,16,5000,minus,"rank1:1,1",4
pell_Dminus2_N30,16,5000,minus,"rank1:2,-1",4
pell_Dminus2_N30,16,5000,minus,rank2,1373
pell_Dminus2_N30,16,5000,center,rank0,1562
pell_Dminus2_N30,16,5000,center,"rank1:0,1",632
pell_Dminus2_N30,16,5000,center,"rank1:1,-2",10
pell_Dminus2_N30,16,5000,center,"rank1:1,-1",614
pell_Dminus2_N30,16,5000,center,"rank1:1,0",585
pell_Dminus2_N30,16,5000,center,"rank1:1,1",4
pell_Dminus2_N30,16,5000,center,"rank1:2,-1",3
pell_Dminus2_N30,16,5000,center,rank2,1590
pell_Dminus2_N30,16,5000,plus,rank0,1355
pell_Dminus2_N30,16,5000,plus,"rank1:0,1",636
pell_Dminus2_N30,16,5000,plus,"rank1:1,-2",9
pell_Dminus2_N30,16,5000,plus,"rank1:1,-1",640
pell_Dminus2_N30,16,5000,plus,"rank1:1,0",581
pell_Dminus2_N30,16,5000,plus,"rank1:1,1",2
pell_Dminus2_N30,16,5000,plus,"rank1:2,-1",2
pell_Dminus2_N30,16,5000,plus,rank2,1775
pell_Dminus2_N30,17,5000,minus,rank0,1756
pell_Dminus2_N30,17,5000,minus,"rank1:0,1",621
pell_Dminus2_N30,17,5000,minus,"rank1:1,-2",9
pell_Dminus2_N30,17,5000,minus,"rank1:1,-1",625
pell_Dminus2_N30,17,5000,minus,"rank1:1,0",598
pell_Dminus2_N30,17,5000,minus,"rank1:1,1",3
pell_Dminus2_N30,17,5000,minus,"rank1:2,-1",3
pell_Dminus2_N30,17,5000,minus,rank2,1385
pell_Dminus2_N30,17,5000,center,rank0,1533
pell_Dminus2_N30,17,5000,center,"rank1:0,1",642
pell_Dminus2_N30,17,5000,center,"rank1:1,-2",9
pell_Dminus2_N30,17,5000,center,"rank1:1,-1",655
pell_Dminus2_N30,17,5000,center,"rank1:1,0",601
pell_Dminus2_N30,17,5000,center,"rank1:1,1",4
pell_Dminus2_N30,17,5000,center,"rank1:2,-1",3
pell_Dminus2_N30,17,5000,center,rank2,1553
pell_Dminus2_N30,17,5000,plus,rank0,1344
pell_Dminus2_N30,17,5000,plus,"rank1:0,1",648
pell_Dminus2_N30,17,5000,plus,"rank1:1,-2",9
pell_Dminus2_N30,17,5000,plus,"rank1:1,-1",650
pell_Dminus2_N30,17,5000,plus,"rank1:1,0",585
pell_Dminus2_N30,17,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,17,5000,plus,"rank1:2,-1",3
pell_Dminus2_N30,17,5000,plus,rank2,1756
pell_Dminus2_N30,18,5000,minus,rank0,1834
pell_Dminus2_N30,18,5000,minus,"rank1:0,1",647
pell_Dminus2_N30,18,5000,minus,"rank1:1,-2",4
pell_Dminus2_N30,18,5000,minus,"rank1:1,-1",602
pell_Dminus2_N30,18,5000,minus,"rank1:1,0",582
