batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
49,98000,2000,-498.28532132061997,5287.781058402356,4338.353632335689,-10868.686861748207,-498.28532132061997,-5287.781058402356,0.0,0.0
50,100000,2000,2283.3952018512446,356.22263946131216,-2857.3337219376835,-2264.4915523531336,2283.3952018512446,-356.22263946131216,0.0,0.0
51,102000,2000,6167.013079296454,-7178.824788274991,1224.346801234159,4313.371683349194,6167.013079296454,7178.824788274991,0.0,0.0
52,104000,2000,5372.624708546717,5300.459964029345,-5224.777324406023,-4216.600019684943,5372.624708546717,-5300.459964029345,0.0,0.0
53,106000,2000,-7527.35304942911,8072.911085791135,1477.1526158592892,-173.8050239758565,-7527.35304942911,-8072.911085791135,0.0,0.0
54,108000,2000,-17924.554648811998,-13127.855539817205,4105.797234803974,2655.1645578528587,-17924.554648811998,13127.855539817205,0.0,0.0
55,110000,2000,3171.5484006170655,-5770.679450174158,11785.777907312568,-12544.11917026372,3171.5484006170655,5770.679450174158,0.0,0.0
56,112000,2000,1175.2004335698414,4256.3732600075,-4795.4795066955,-5211.524294982744,1175.2004335698414,-4256.3732600075,0.0,0.0
57,114000,2000,6715.513662202997,5855.548805103392,3343.1042152421987,-5916.613542562506,6715.513662202997,-5855.548805103392,0.0,0.0
58,116000,2000,11570.672526257265,-14897.546391663527,3622.41686096884,-4445.370309943828,11570.672526257265,14897.546391663527,0.0,0.0
59,118000,2000,5273.263079296435,-10648.529162998915,-6541.159446960819,-7044.793004621681,5273.263079296435,10648.529162998915,0.0,0.0
60,120000,2000,9845.242003085368,-8951.805357346779,-2048.7010164763615,-11660.678621315918,9845.242003085368,8951.805357346779,0.0,0.0
61,122000,2000,3232.548983523634,3672.6368904539986,-9251.054065905471,350.89976517717815,3232.548983523634,-3672.6368904539986,0.0,0.0
62,124000,2000,9138.361046343713,-173.80502397587793,-3226.2915695155752,-5973.611965904252,9138.361046343713,173.80502397587793,0.0,0.0
63,126000,2000,649.9999999999994,-10884.655484600673,-5579.0825561246065,-4070.665927296557,649.9999999999994,10884.655484600673,0.0,0.0
64,128000,2000,5599.331973218042,10898.590950394402,1581.0421524221324,-263.9972531892435,5599.331973218042,-10898.590950394402,0.0,0.0
65,130000,2000,-4860.75566528839,5141.846966013996,-13913.33880431955,-1832.0121494722166,-4860.75566528839,-5141.846966013996,0.0,0.0
66,132000,2000,-5031.24258599192,-3329.093156619692,2899.562062820084,-1561.4354618320856,-5031.24258599192,3329.093156619692,0.0,0.0
67,134000,2000,5267.005665288406,6447.897766166443,2226.9225262572586,-2738.7773526153255,5267.005665288406,-6447.897766166443,0.0,0.0
68,136000,2000,-3912.9231091637985,-6305.253391003529,1012.7004335698134,8656.64745534458,-3912.9231091637985,6305.253391003529,0.0,0.0
69,138000,2000,-3084.0409866090067,-4574.079219312967,-4752.590553039203,-5860.871679387553,-3084.0409866090067,4574.079219312967,0.0,0.0
70,140000,2000,6959.263662202994,-9224.415202045617,-3112.2773244060277,-6140.060958537266,6959.263662202994,9224.415202045617,0.0,0.0
71,142000,2000,12598.686188460251,1634.4025080262668,-1764.860463437169,3823.893857126515,12598.686188460251,-1634.4025080262668,0.0,0.0
72,144000,2000,5859.0558146251415,-5962.966217335963,-11545.89520185122,8718.968752970512,5859.0558146251415,5962.966217335963,0.0,0.0
73,146000,2000,19599.109297624058,-3483.6398405176733,1062.5074140080835,3568.5091954468753,19599.109297624058,3483.6398405176733,0.0,0.0
74,148000,2000,4280.151450046162,-2590.8101031682436,8292.43618846024,-6774.216316981549,4280.151450046162,2590.8101031682436,0.0,0.0
75,150000,2000,5043.757414008047,1828.722432246759,572.6172945386556,-1345.8240404749758,5043.757414008047,-1828.722432246759,0.0,0.0
76,152000,2000,-5927.790986608996,-8994.868314894764,7067.020493304492,2109.9448684552153,-5927.790986608996,8994.868314894764,0.0,0.0
77,154000,2000,2417.6588640542423,8850.967379565092,3565.9441853748544,7255.081551694619,2417.6588640542423,-8850.967379565092,0.0,0.0
78,156000,2000,3467.243168898509,3978.4405410244735,-7294.388370749714,-5535.80968873916,3467.243168898509,-3978.4405410244735,0.0,0.0
79,158000,2000,6545.026741499439,3441.8334431364074,-1520.7021822894808,-1627.823073575333,6545.026741499439,-3441.8334431364074,0.0,0.0
80,160000,2000,-4305.589387226069,1821.3664009039016,-3410.7704933045193,-5558.3577460425,-4305.589387226069,-1821.3664009039016,0.0,0.0
81,162000,2000,7986.616711632096,10570.239242520605,-2704.9584304844216,-12134.964421578105,7986.616711632096,-10570.239242520605,0.0,0.0
82,164000,2000,-4439.444768281426,14034.620742960333,1496.333139031166,-5921.159819954711,-4439.444768281426,-14034.620742960333,0.0,0.0
83,166000,2000,-8573.478340882379,8924.711022651245,-10272.402032952758,-6025.28751496183,-8573.478340882379,-8924.711022651245,0.0,0.0
84,168000,2000,-2041.374708546729,573.0906209851702,-4071.5558146251124,8716.935595911767,-2041.374708546729,-573.0906209851702,0.0,0.0
85,170000,2000,-54.08255612457947,4654.4022968500085,-8916.589970132649,7913.818124500986,-54.08255612457947,-4654.4022968500085,0.0,0.0
