batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
55,0.0012875991915781704,0.0006715962499106443,0.0007845896553444476,0.0008905199434453559,0.0010025374230815398,0.0011393527396632575,0.0013026791188485154,0.001459370305074148,0.0015491989033258324,0.0015181987865423574,0.0013528126953841202,0.001087973665038544,0.0007852655539121178,0.0005018074804087336,0.00027293477217982254,0.00011338902185031863,0.0029414240734215724,-1.2082871503538115,-0.07999000000000933,-0.06455999999997175,-0.01543000000003758,2.854872807103675
56,0.002001467866408646,0.0010053681104151835,0.0013155254200696298,0.0016564922268437199,0.0020068548641122286,0.0023330267435703878,0.0025891611243276103,0.002723762292899945,0.0026945286742159347,0.002486194454406454,0.0021217485992095497,0.0016595966613826008,0.0011762633149950963,0.0007419456201867014,0.00040093309522992726,0.0001664037401669649,-0.011878391924679654,-1.7910060112536001,-0.17857000000000767,-0.051890000000014425,-0.12667999999999324,2.670649575498828
57,0.0005494102644526544,0.00043882389375848874,0.0004628005683039449,0.0004696433959410218,0.0004661652924176085,0.0004678505912873998,0.0004894297517492596,0.0005321452992790299,0.0005788665866401921,0.0006005797643606758,0.0005694515907197495,0.0004726815553428576,0.000321735874297957,0.00015010677549898155,-2.4697823095554128e-06,-0.00010949454567654726,0.003421723254065867,-0.25008109640344856,-0.050980000000009795,-0.005159999999989395,-0.0458200000000204,2.05789463120891
58,-0.0017587541359467274,-0.0005916935098295717,-0.0007195169152257597,-0.0008776975632971418,-0.001062136005850256,-0.0012598813665161135,-0.0014542611195293986,-0.0016283068522147115,-0.0017618014530298431,-0.0018264396007329209,-0.0017898492249591724,-0.0016312067177829404,-0.0013566349134169764,-0.0010011156132032628,-0.000617347406123181,-0.00026165637853958756,-0.009906637425916465,0.6885645311216564,0.08454999999997881,0.0715900000000147,0.012959999999964111,-2.41629780549556
59,0.001620920842667628,6.92962530846053e-06,0.0001255854513676491,0.00027721818236392526,0.0004493697162968324,0.0006237170115260815,0.0007864043820063893,0.0009390666128665792,0.0011010219488620798,0.0012982808816346392,0.001545233091310716,0.0018301085508636294,0.0021120032588051174,0.0023313514974764304,0.0024311915121555394,0.002381137102085318,0.017960713438402998,0.35303596777058033,-0.04650000000000887,-0.1792300000000182,0.13273000000000934,-1.652892489990336
60,-0.00046605212459338574,7.150434887204238e-05,0.00014025874532974658,0.0002539920187394351,0.000391550645006955,0.0005058647764143442,0.0005401338805146594,0.00045422194419153517,0.00024444215206165243,-5.4656652722195886e-05,-0.0003813775590473245,-0.0006606665451597271,-0.0008224408294178476,-0.0008300343569572766,-0.0007047897268783743,-0.0005187066718653766,-0.025443929845685886,-0.8931901265396505,0.004829999999998336,0.018969999999967513,-0.014139999999969177,1.261776598104916
61,-0.0018836058115744292,-0.00022225254498942082,-0.00022504624739638768,-0.00026564463316658404,-0.0003685381320136516,-0.0005435681930192615,-0.0007820842866946842,-0.0010620614228487035,-0.0013555389259343187,-0.001629569309457013,-0.0018422694255253447,-0.0019468635058006445,-0.0019107929506438914,-0.001737165187821077,-0.001467365240198082,-0.0011599608696236663,-0.028375394330415027,0.19447119562920534,0.08118999999999232,0.08098000000001093,0.00020999999998139174,0.31659247830248205
62,-0.0009802493795457723,-8.620461245656408e-05,-0.00022212640910967973,-0.00038290559078757447,-0.0005497813340834545,-0.000698419858462973,-0.0008086705711347619,-0.0008751662723851528,-0.000909990196273025,-0.0009349296400008589,-0.0009685236348394577,-0.0010146274518592069,-0.0010571783708938076,-0.0010646951711925645,-0.0010053078307321606,-0.0008659089055803593,-0.0029881683807859716,0.09884480160039288,0.04485000000002515,0.053110000000003765,-0.008259999999978618,0.8034199004832772
63,-0.0007191891362569036,-0.00015477940807540058,-0.0002703708456329723,-0.0003914210367695903,-0.0004880922837369184,-0.0005410392839260147,-0.0005550327346761641,-0.0005564040386648594,-0.0005746875672671958,-0.000623610467209712,-0.0006969130817350289,-0.0007782795353922234,-0.000851473536295777,-0.000902187347980643,-0.0009167498745313862,-0.0008853340396409726,-0.0033603214272481807,-0.30639371340068067,0.04141999999998802,0.06317999999998847,-0.021760000000000446,-0.3372729019902181
64,-3.37115815899347e-05,1.3802456243494632e-06,-8.312623338901926e-05,-0.00021585463101159164,-0.0003779372177452611,-0.0005285506096206483,-0.0006180472262232728,-0.0006097763631045527,-0.0004972430249379212,-0.00030730717623395076,-9.035379708144387e-05,9.722860442540338e-05,0.0002135479512245242,0.0002474111764104725,0.0002203715992979971,0.00017161054138525866,0.01512345934354098,0.774025105371166,0.0549000000000035,-0.045630000000016935,0.10053000000002044,-0.2567459779966157
