n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
130,11,3,first,89,200,14474,16355,55,87,58,15439,1182220,18314,3991,4715,286746,379614,4378,5938
130,9,7,second,89,200,14702,16402,60,81,59,15439,1182220,18319,4390,4778,318398,383130,4846,5999
130,11,3,first,90,200,14738,16467,65,83,52,15397,1175826,18203,4754,4245,343990,343390,5284,5373
130,9,7,second,90,200,14631,16376,61,81,58,15397,1175826,18198,4422,4741,317008,383690,4871,5948
130,11,3,first,91,200,14719,16301,67,64,69,15471,1188274,18410,4915,5660,357196,459984,5447,7173
130,9,7,second,91,200,14561,16430,63,67,70,15471,1188274,18411,4583,5703,330256,460548,5045,7151
130,11,3,first,92,200,14643,16399,69,66,65,15425,1180964,18249,5006,5278,359392,425014,5462,6655
130,9,7,second,92,200,14536,16246,52,84,64,15425,1180964,18263,3726,5198,264342,418716,4029,6522
130,11,3,first,93,200,14643,16342,60,71,69,15482,1188854,18433,4414,5611,321438,452190,4916,7086
130,9,7,second,93,200,14588,16278,57,74,69,15482,1188854,18450,4140,5589,297592,448700,4530,7042
130,11,3,first,94,200,14552,16353,70,68,62,15383,1174142,18230,5124,5038,371418,405622,5734,6326
130,9,7,second,94,200,14590,16343,64,75,61,15383,1174142,18226,4660,4975,336082,402098,5145,6320
130,11,3,first,95,200,14667,16239,61,69,70,15431,1182360,18298,4434,5643,319574,451196,4887,6978
130,9,7,second,95,200,14685,16462,62,83,55,15431,1182360,18298,4518,4546,326364,372202,5016,5772
130,11,3,first,96,200,14566,16387,59,81,60,15342,1166852,18124,4280,4810,307388,381974,4728,5965
130,9,7,second,96,200,14610,16281,62,74,64,15342,1166852,18111,4517,5119,326114,405280,4974,6357
130,11,3,first,97,200,14646,16406,59,77,64,15508,1192804,18482,4336,5217,315306,421666,4855,6572
130,9,7,second,97,200,14582,16394,53,82,65,15508,1192804,18541,3877,5277,280738,424738,4327,6670
130,11,3,first,98,200,14471,16210,48,80,72,15467,1185750,18517,3518,5805,255202,463444,3908,7316
130,9,7,second,98,200,14744,16484,67,70,63,15467,1185750,18439,4953,5082,362584,405946,5550,6382
130,11,3,first,99,200,14648,16251,61,72,67,15354,1168874,18093,4442,5369,319888,426372,4897,6689
130,9,7,second,99,200,14514,16262,54,76,70,15354,1168874,18095,3934,5617,283552,446852,4336,6961
