mask,k,clusters_G,clusters_Gstar,H_G,V_G,E_G,B_G,H_Gstar,V_Gstar,E_Gstar,B_Gstar
457,5,1,1,1,1,1,1,0,0,0,0
458,5,1,1,1,0,1,0,1,0,1,0
459,6,1,1,1,1,1,1,0,0,0,0
460,5,1,1,1,0,1,0,1,0,1,0
461,6,1,1,1,1,1,1,0,0,0,0
462,6,1,1,1,0,1,0,1,0,1,0
463,7,1,1,1,1,1,1,0,0,0,0
464,4,1,1,1,0,1,0,1,0,1,0
465,5,1,1,1,0,1,0,1,0,1,0
466,5,1,1,1,1,1,1,0,0,0,0
467,6,1,1,1,1,1,1,0,0,0,0
468,5,1,1,1,0,1,0,1,0,1,0
469,6,1,1,1,0,1,0,1,0,1,0
470,6,1,1,1,1,1,1,0,0,0,0
471,7,1,1,1,1,1,1,0,0,0,0
472,5,1,1,1,0,1,0,1,0,1,0
473,6,1,1,1,1,1,1,0,0,0,0
474,6,1,1,1,1,1,1,0,0,0,0
475,7,1,1,1,1,1,1,0,0,0,0
476,6,1,1,1,0,1,0,1,0,1,0
477,7,1,1,1,1,1,1,0,0,0,0
478,7,1,1,1,1,1,1,0,0,0,0
479,8,1,1,1,1,1,1,0,0,0,0
480,4,1,1,1,0,1,0,1,0,1,0
481,5,1,1,1,0,1,0,1,0,1,0
482,5,1,1,1,0,1,0,1,0,1,0
483,6,1,1,1,0,1,0,1,0,1,0
484,5,1,1,1,1,1,1,0,0,0,0
485,6,1,1,1,1,1,1,0,0,0,0
486,6,1,1,1,1,1,1,0,0,0,0
487,7,1,1,1,1,1,1,0,0,0,0
488,5,1,1,1,0,1,0,1,0,1,0
489,6,1,1,1,1,1,1,0,0,0,0
490,6,1,1,1,0,1,0,1,0,1,0
491,7,1,1,1,1,1,1,0,0,0,0
492,6,1,1,1,1,1,1,0,0,0,0
493,7,1,1,1,1,1,1,0,0,0,0
494,7,1,1,1,1,1,1,0,0,0,0
495,8,1,1,1,1,1,1,0,0,0,0
496,5,1,1,1,0,1,0,1,0,1,0
497,6,1,1,1,0,1,0,1,0,1,0
498,6,1,1,1,1,1,1,0,0,0,0
499,7,1,1,1,1,1,1,0,0,0,0
500,6,1,1,1,1,1,1,0,0,0,0
501,7,1,1,1,1,1,1,0,0,0,0
502,7,1,1,1,1,1,1,0,0,0,0
503,8,1,1,1,1,1,1,0,0,0,0
504,6,1,1,1,0,1,0,1,0,1,0
505,7,1,1,1,1,1,1,0,0,0,0
506,7,1,1,1,1,1,1,0,0,0,0
507,8,1,1,1,1,1,1,0,0,0,0
508,7,1,1,1,1,1,1,0,0,0,0
509,8,1,1,1,1,1,1,0,0,0,0
510,8,1,1,1,1,1,1,0,0,0,0
511,9,1,0,1,1,1,1,0,0,0,0
