key	g16
6369416	6
6369928	18
6370312	12
6370368	6
6370376	9
6370440	6
6370952	8
6375048	4
6391432	-4
6393992	12
6394504	24
6394888	24
6394944	12
6394952	12
6395016	18
6395528	20
6398088	12
6398600	36
6398984	24
6399040	12
6399048	18
6399112	12
6399624	16
6407816	8
6424200	8
6428296	4
6432392	8
6436488	4
6440584	6
6473352	4
6553736	4
6554248	8
6554632	8
6554688	4
6554696	4
6554760	6
6555272	8
6557832	8
6558344	16
6558728	16
6558784	8
6558792	8
6558856	12
6559368	20
6561864	-2
6561928	8
6562312	-4
6562368	-2
6562440	20
6562824	16
6562880	8
6562888	10
6562952	10
6563464	43
6566024	6
6566536	12
6566920	12
6566976	6
6566984	6
6567048	9
6567560	10
6571656	4
6586504	4
6587016	8
6587400	8
6587456	4
6587464	4
6587528	6
6588040	10
6594696	6
6595208	8
6595592	12
6595648	6
6595656	4
6595720	4
6596232	10
6619272	10
6619784	20
6620168	20
6620224	10
6620232	10
6620296	8
6620808	43
6623368	12
6623880	16
6624264	24
6624320	12
6624328	8
6624392	8
6624904	20
6627464	6
6627976	8
6628360	12
6628416	6
6628424	4
6628488	4
6629000	8
6631560	9
6632072	12
6632456	18
6632512	9
6632520	6
6632584	6
6633096	10
6637192	4
6652040	12
6652552	24
6652936	24
6652992	12
6653000	12
6653064	18
6653576	20
6660232	18
6660744	24
6661128	36
6661184	18
6661192	12
6661256	12
6661768	20
6686344	4
6694536	4
6815880	4
6816392	12
6816776	8
6816832	4
6816840	6
6816904	4
6817416	10
6819912	-2
6819976	8
6820360	-4
6820416	-2
6820488	20
6820872	16
6820928	8
6820936	10
6821000	10
6821512	43
6824072	8
6824584	24
6824968	16
6825024	8
6825032	12
6825096	8
6825608	20
6828168	6
6828680	18
6829064	12
6829120	6
6829128	9
6829192	6
6829704	8
6833800	4
6848584	-2
6848648	10
6849032	-4
6849088	-2
6849160	16
6849544	20
6849600	10
6849608	8
6849672	10
6850184	26
6852744	6
6853256	8
6853640	12
6853696	6
6853704	4
6853768	4
6854280	10
6856840	12
6857352	16
6857736	24
6857792	12
6857800	8
6857864	8
6858376	16
6860936	9
6861448	12
6861832	18
6861888	9
6861896	6
6861960	6
6862472	10
6866568	8
6881416	4
6881928	12
6882312	8
6882368	4
6882376	6
6882440	4
6882952	10
6885512	6
6886024	8
6886408	12
6886464	6
6886472	4
6886536	4
6887048	8
6895240	-2
6899336	4
6914184	12
6914696	36
6915080	24
6915136	12
6915144	18
6915208	12
6915720	16
6918280	18
6918792	24
6919176	36
6919232	18
6919240	12
6919304	12
6919816	20
6923912	-4
6932104	8
6948488	8
6952584	4
6956680	8
6960776	4
6964872	6
6997640	4
7079560	-2
7082120	6
7082632	12
7083016	12
7083072	6
7083080	6
7083144	9
7083656	10
7086216	6
7086728	18
7087112	12
7087168	6
7087176	9
7087240	6
7087752	8
7095944	4
7110792	6
7111304	12
7111688	12
7111744	6
7111752	6
7111816	9
7112328	10
7118984	9
7119496	12
7119880	18
7119936	9
7119944	6
7120008	6
7120520	10
7143560	6
7144072	18
7144456	12
7144512	6
7144520	9
7144584	6
7145096	8
7147656	9
7148168	12
7148552	18
7148608	9
7148616	6
7148680	6
7149192	10
7153288	-2
7161480	4
7210632	4
7218824	4
7341704	4
7345800	4
7349896	4
7353992	4
7358088	12
7374472	8
7382664	8
7407240	4
7411336	4
7415432	4
7419528	4
7423624	12
7440008	8
7448200	8
7472776	6
7480968	6
7734920	4
7743112	4
8394376	4
8402568	4
8423048	8
8427144	4
8431240	8
8433800	4
8434312	8
8434696	8
8434752	4
8434760	4
8434824	6
8435336	4
8439432	6
8459912	4
8466568	4
8467080	12
8467464	8
8467520	4
8467528	6
8467592	4
8468104	4
8488584	8
8492680	4
8496776	8
8500872	4
8504968	6
8525448	12
8533640	12
8652424	4
8656520	8
8660616	4
8663176	4
8663688	8
8664072	8
8664128	4
8664136	4
8664200	6
8664712	8
8668808	6
8685192	4
8693384	4
8717960	4
8722056	8
8726152	4
8728712	6
8729224	8
8729608	12
8729664	6
8729672	4
8729736	4
8730248	8
8734344	6
8750728	4
8758920	4
8783496	12
8791688	12
8918664	4
8925320	4
8925832	12
8926216	8
8926272	4
8926280	6
8926344	4
8926856	4
8947336	8
8951432	4
8955528	8
8958088	6
8958600	8
8958984	12
8959040	6
8959048	4
8959112	4
8959624	4
8963720	6
8984200	4
8992392	4
9012872	8
9016968	4
