observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,192,7,24 32 48 64 96 128 192,0.592769584118167528,-385.714546732886711,375618.177912908460,-73707409.5241450481,2.26116471761e+13,0.0000507462211482295788,0.000107411859293052465,256,0.592777028564663633,0.592769495642469497,-7.53292219413584494e-6,7.53292219413584494e-6,0.000200693361194349411,-0.0375344861898099343,ok
H,shared,torus_shared:wrapping_H,A,4,32,192,6,32 48 64 96 128 192,0.592761287758667159,-84.8355618923107632,nan,nan,2924617.28164,0.0000557242116787767905,0.000112635390462830627,256,0.592777028564663633,0.592761268006348679,-0.0000157605583149540902,0.0000157605583149540902,0.000200693361194349411,-0.0785305414247944439,ok
H,shared,torus_shared:wrapping_H,B,"4,6",32,192,6,32 48 64 96 128 192,0.592769490556867158,-358.289778285392229,275779.299992285899,nan,27329610051.1,0.0000548029395980781321,0.000107299858213845493,256,0.592777028564663633,0.592769408115792357,-7.62044887127616437e-6,7.62044887127616437e-6,0.000200693361194349411,-0.0379706076271082985,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,192,6,32 48 64 96 128 192,0.592767179008419875,-1.40425807473964008,-907438.178841267936,840047425.724607086,3.61048066415e+14,0.0000547535266905189302,0.000106804675787668160,256,0.592777028564663633,0.592767175503136595,-9.85306152703798596e-6,9.85306152703798596e-6,0.000200693361194349411,-0.0490951044339547502,ok
H,shared,torus_shared:wrapping_H,A,4,48,192,5,48 64 96 128 192,0.592768478521479258,-237.045686823727536,nan,nan,14077411.5588,0.0000600412883864509885,0.000107236712673497663,256,0.592777028564663633,0.592768423329979420,-8.60523468421313848e-6,8.60523468421313848e-6,0.000200693361194349411,-0.0428775253600935842,ok
H,shared,torus_shared:wrapping_H,B,"4,6",48,192,5,48 64 96 128 192,0.592769347138542291,-340.110007050716767,233940.841278184265,nan,239705197827.,0.0000600333559615887807,0.000107282682400091818,256,0.592777028564663633,0.592769268781635264,-7.75978302836945170e-6,7.75978302836945170e-6,0.000200693361194349411,-0.0386648715343152617,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",48,192,5,48 64 96 128 192,0.592697191334881661,28693.0052289429064,-179255984.760582657,261547170765.613555,6.02648974490e+15,0.0000414786537917527150,0.0000744008178620831624,256,0.592777028564663633,0.592703249279068952,-0.0000737792855946811190,0.0000737792855946811190,0.000200693361194349411,-0.367621953987974763,ok
H,shared,torus_shared:wrapping_H,A,4,64,192,4,64 96 128 192,0.592773018737213728,-527.835209500434847,nan,nan,41997488.5813,0.0000667346922443022412,0.000106120182115038297,256,0.592777028564663633,0.592772895841002157,-4.13272366147640983e-6,4.13272366147640983e-6,0.000200693361194349411,-0.0205922290447580986,ok
H,shared,torus_shared:wrapping_H,B,"4,6",64,192,4,64 96 128 192,0.592700429825987686,22138.9797774328090,-88866366.3938416408,nan,1.76544290901e+12,0.0000438149202003818508,0.0000701461851500617754,256,0.592777028564663633,0.592705268742143633,-0.0000717598225200004937,0.0000717598225200004937,0.000200693361194349411,-0.357559523110029589,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",64,192,4,64 96 128 192,0.592813989504856882,-111326.422248822657,1569871089.84625341,-4587311001783.02427,1.04697470193e+17,0.0,0.0,256,0.592777028564663633,0.592793397926176157,0.0000163693615125235738,0.0000163693615125235738,0.000200693361194349411,0.0815640408586891448,ok
