dps,min_train,holdout,model,folds,median_rmse,worst_rmse,median_max_abs,intercept_median,intercept_range,full_fit_intercept,score,source
60,8,4,"4,6,8,10,12",3,1.89765011871783597509300374146e-11,2.02499694622916250919004770886e-11,2.97216502118281915117405862240e-11,0.592746050826078971589531446625,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,-20.7418021284923,audit_dps060_nmin08_h04.json
60,9,2,4,8,0.0000000813492998324182609016095122748,0.0000000965319161238520737723866282394,0.0000000883214219560838909616006402274,0.592746065981792447905915971895,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,-14.1816695638700,audit_dps060_nmin09_h02.json
60,9,2,"4,6",7,2.99999688507016389268841383868e-10,6.92395295807666453967373428626e-10,3.19433034253300114548175377315e-10,0.592746051145992636164053648415,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,-18.8310565749372,audit_dps060_nmin09_h02.json
60,9,2,"4,6,8",6,2.82806007378757819996703234301e-10,2.97679129199809993217261947812e-10,3.40893310316368259115961304204e-10,0.592746050947708478006468929388,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,-18.6313478445058,audit_dps060_nmin09_h02.json
60,9,2,"4,6,8,10",5,1.38539813077909357897077953681e-11,1.60268751391703734811205835431e-11,1.75508222748867661122942726284e-11,0.592746050845692085499193987049,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,-20.7893266397793,audit_dps060_nmin09_h02.json
60,9,2,"4,6,8,10,12",4,3.41223366125780473357950908890e-12,4.22192129411879196543933241916e-12,4.46198036946959179349332089989e-12,0.592746050820816422875007240035,6.05164648908086746989600887090e-11,0.592746050865197948813053234549,-21.6850876865887,audit_dps060_nmin09_h02.json
60,9,3,4,7,0.0000000910771783532457929864755762652,0.000000114801279026540613617730368925,0.000000104580922425278601613824075398,0.592746065981792447905915971895,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,-14.1326138158704,audit_dps060_nmin09_h03.json
60,9,3,"4,6",6,3.76302818514024348172274214827e-10,8.36852405365706998256641134933e-10,4.20262592303867243914419380334e-10,0.592746051145992636164053648415,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,-18.7326399075198,audit_dps060_nmin09_h03.json
60,9,3,"4,6,8",5,3.67784682675861028803955567611e-10,4.23147367065724050011140200204e-10,4.92235106137794307074634012953e-10,0.592746050947708478006468929388,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,-18.5172428370472,audit_dps060_nmin09_h03.json
60,9,3,"4,6,8,10",4,1.93757052628592828772602262453e-11,2.04001809905027121097889771083e-11,2.78042048110354058063143277775e-11,0.592746050845692085499193987049,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,-20.6436437176193,audit_dps060_nmin09_h03.json
