dps,min_train,holdout,model,n_min,train_max,test_min,test_max,intercept,rmse,max_abs,source
160,8,3,"4,6,8,10",8,18,19,21,0.592746051035312840530298248287,3.34198791207401323983032968527e-11,4.49424181880634937863719105449e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10,12",8,15,16,18,0.592746051035080741440865068249,1.40536544492378601812717082526e-11,2.10058235530530742736981078843e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10,12",8,16,17,19,0.592746050996664521180028316432,1.36266148634900028462932333364e-11,1.99807821387895231437304140352e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10,12",8,17,18,20,0.592746050968309449653477907201,1.36213423758790150122990099886e-11,1.95674513818330368209024896498e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10,12",8,18,19,21,0.592746050946032062664393668067,1.37758612509855313720848457635e-11,1.93748706392088330942548115319e-11,audit_dps160_nmin08_h03.json
160,8,4,4,8,11,12,15,0.592746583160804433904194370550,0.000000276496274505747355939126474453,0.000000351840858982901805562881621002,audit_dps160_nmin08_h04.json
160,8,4,4,8,12,13,16,0.592746487051642152492640629146,0.000000243766550061610156912587011929,0.000000299228823389177925567584735935,audit_dps160_nmin08_h04.json
160,8,4,4,8,13,14,17,0.592746416734101761141256744225,0.000000218122398392849761827872635501,0.000000259620365858631229698631428297,audit_dps160_nmin08_h04.json
160,8,4,4,8,14,15,18,0.592746363626328479036994547809,0.000000197341465716345440852140690318,0.000000228841574259778637139045920326,audit_dps160_nmin08_h04.json
160,8,4,4,8,15,16,19,0.592746322448464887760114288064,0.000000180068893051152170908586117898,0.000000204293031178523844388133382288,audit_dps160_nmin08_h04.json
160,8,4,4,8,16,17,20,0.592746289807582192723277373850,0.000000165434050106577341081430633603,0.000000184285721184691879735293260227,audit_dps160_nmin08_h04.json
160,8,4,4,8,17,18,21,0.592746263442365496245451510971,0.000000152849553891352770276554476599,0.000000167681673929023262479816548232,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,12,13,16,0.592746038959124971830372008129,0.00000000555652537052239031824506323314,0.00000000738136159432574271587559637531,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,13,14,17,0.592746042480279219183311640662,0.00000000434013630076542455297273028683,0.00000000553832126008682820886168267616,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,14,15,18,0.592746044736984056807485893259,0.00000000348335300262451073236485504082,0.00000000428460794464778741039345420129,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,15,16,19,0.592746046242137993802859465309,0.00000000285727610270600585436551893456,0.00000000340079177095674469089831846933,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,16,17,20,0.592746047280886820149037918868,0.00000000238548370512368781787645715962,0.00000000275828539039426721997543670461,audit_dps160_nmin08_h04.json
160,8,4,"4,6",8,17,18,21,0.592746048019206927288364739227,0.00000000202075022518725445136154318423,0.00000000227862749175818976444527900425,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8",8,13,14,17,0.592746057609658657498067936820,0.00000000163407695278367461171430677078,0.00000000239209612255370851460189086702,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8",8,14,15,18,0.592746056190108763018050520058,0.00000000142890390152874583354974884552,0.00000000202690283567912786779464959269,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8",8,15,16,19,0.592746055173491051267203339583,0.00000000127173943595123872858301139546,0.00000000175051320877582495955355749373,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8",8,16,17,20,0.592746054423040315613681332487,0.00000000114807068779705179859467565241,0.00000000153603635558541221263951326844,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8",8,17,18,21,0.592746053854560810711418628620,0.00000000104836821854119206912110698690,0.00000000136593283328143592368649258314,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10",8,14,15,18,0.592746051156870837997947935410,3.41296453938341979152711426132e-11,5.44696794812542334619567888068e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10",8,15,16,19,0.592746051122623258079845881108,3.71918349935832481349898376028e-11,5.75383772973358531097369415267e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10",8,16,17,20,0.592746051090194524217082728415,3.91056185614189905819031715041e-11,5.87958451340809836877812501112e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10",8,17,18,21,0.592746051061053293332396170751,4.03905539308066266476669909892e-11,5.91002733348525048715996528142e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10,12",8,15,16,19,0.592746051035080741440865068249,2.02499694622916250919004770886e-11,3.23686490721998492528130926623e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10,12",8,16,17,20,0.592746050996664521180028316432,1.89765011871783597509300374146e-11,2.97216502118281915117405862240e-11,audit_dps160_nmin08_h04.json
160,8,4,"4,6,8,10,12",8,17,18,21,0.592746050968309449653477907201,1.83592227241707452297053643548e-11,2.81357660599472181818537007478e-11,audit_dps160_nmin08_h04.json
160,9,2,4,9,12,13,14,0.592746327406016702220364580657,0.0000000965319161238520737723866282394,0.000000113641851904482125657768775635,audit_dps160_nmin09_h02.json
160,9,2,4,9,13,14,15,0.592746280524711190587890101208,0.0000000923261597583477762113916651139,0.000000105454347709593052583008941772,audit_dps160_nmin09_h02.json
160,9,2,4,9,14,15,16,0.592746245431160168424685526527,0.0000000879284902075154580413116586037,0.0000000980360544309181671599184785672,audit_dps160_nmin09_h02.json
160,9,2,4,9,15,16,17,0.592746218446757500705535753962,0.0000000835104422064830508692819743901,0.0000000913412564454435421302654198262,audit_dps160_nmin09_h02.json
160,9,2,4,9,16,17,18,0.592746197222735627188592401055,0.0000000791881574583534709339370501596,0.0000000853015874667242397929358606287,audit_dps160_nmin09_h02.json
160,9,2,4,9,17,18,19,0.592746180203594746004010357435,0.0000000750349690643410178646189364080,0.0000000798470203736715584733650815232,audit_dps160_nmin09_h02.json
160,9,2,4,9,18,19,20,0.592746166326602787572940514964,0.0000000710930265681185456541232189577,0.0000000749124456889093231390995489383,audit_dps160_nmin09_h02.json
160,9,2,4,9,19,20,21,0.592746154845908633178190989069,0.0000000673828270055678590582745595583,0.0000000704393773688180834269071809144,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,13,14,15,0.592746049378349872113493046287,6.92395295807666453967373428626e-10,8.29223685920478029162437631174e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,14,15,16,0.592746050111478627159892954368,5.32772242248290513550311783691e-10,6.13008759053888644555711262903e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,15,16,17,0.592746050544029585835809970864,4.04154862755794853652660876489e-10,4.47343635368017980058203803167e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,16,17,18,0.592746050803454769368846158695,2.99999688507016389268841383868e-10,3.19433034253300114548175377315e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,17,18,19,0.592746050959984750890831692409,2.15352431890379650011237292691e-10,2.19851696389174166429474325859e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,18,19,20,0.592746051053772476266329679135,1.46443556528895236250778251930e-10,1.50998347265462507304875340629e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6",9,19,20,21,0.592746051108519248288778112443,9.04151611389311204648109340044e-11,9.96726749744595269927780217160e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,14,15,16,0.592746053575901705403737886122,2.97679129199809993217261947812e-10,3.80236702356531464593130392456e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,15,16,17,0.592746053038943578745273263782,2.91984245260318203928069551647e-10,3.63991515067969429810955609939e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,16,17,18,0.592746052644441359646878574050,2.85920722157791273985168460014e-10,3.48285878773050280937854558232e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,17,18,19,0.592746052346979390130742503364,2.79691292599724366008238008589e-10,3.33500741859686237294068050176e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,18,19,20,0.592746052117526218957965977872,2.73356908347579827860521027674e-10,3.19705033170764933159163076429e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8",9,19,20,21,0.592746051936982326507497727937,2.66940583597956171341822120182e-10,3.06849544399932960488975973327e-10,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10",9,15,16,17,0.592746051074840798692225862255,1.16471755191222985158635826082e-11,1.52960369695347858372523231118e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10",9,16,17,18,0.592746051038406613500622150674,1.27111513769079414411872776992e-11,1.64014657634557273626844549471e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10",9,17,18,19,0.592746051009151405466359324192,1.38539813077909357897077953681e-11,1.75508222748867661122942726284e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10",9,18,19,20,0.592746050984927488985764438830,1.49762069943865592951921585292e-11,1.86265480863792496277732199609e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10",9,19,20,21,0.592746050964520096039289212343,1.60268751391703734811205835431e-11,1.95795383442054491447072870226e-11,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10,12",9,16,17,18,0.592746050918383373083540437286,2.40992438268843488438015267976e-12,3.23961860604699079317318164286e-12,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10,12",9,17,18,19,0.592746050906157989196812658131,3.11468502297965745262276440375e-12,4.11251130884129061059543664716e-12,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10,12",9,18,19,20,0.592746050894189086796664712961,3.70978229953595201453625377406e-12,4.81144943009789297639120515263e-12,audit_dps160_nmin09_h02.json
160,9,2,"4,6,8,10,12",9,19,20,21,0.592746050883281540300338611292,4.22192129411879196543933241916e-12,5.37939577867743139042990675255e-12,audit_dps160_nmin09_h02.json
160,9,3,4,9,12,13,15,0.592746327406016702220364580657,0.000000114801279026540613617730368925,0.000000144572401713826686281430251069,audit_dps160_nmin09_h03.json
160,9,3,4,9,13,14,16,0.592746280524711190587890101208,0.000000105723126286357950487829392345,0.000000128389636434704735570920821318,audit_dps160_nmin09_h03.json
160,9,3,4,9,14,15,17,0.592746245431160168424685526527,0.0000000979194430767553759742641590834,0.000000115333486971648981694946317039,audit_dps160_nmin09_h03.json
160,9,3,4,9,15,16,18,0.592746218446757500705535753962,0.0000000910771783532457929864755762652,0.000000104580922425278601613824075398,audit_dps160_nmin09_h03.json
160,9,3,4,9,16,17,19,0.592746197222735627188592401055,0.0000000850000460188899263896257931976,0.0000000955693199010134778199688497953,audit_dps160_nmin09_h03.json
160,9,3,4,9,17,18,20,0.592746180203594746004010357435,0.0000000795564933508169135610056000405,0.0000000879045717688363476241447565247,audit_dps160_nmin09_h03.json
160,9,3,4,9,18,19,21,0.592746166326602787572940514964,0.0000000746519457851913065966614389558,0.0000000813037648286658830179204240273,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,13,14,16,0.592746049378349872113493046287,8.36852405365706998256641134933e-10,0.00000000106871107123765537398139595543,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,14,15,17,0.592746050111478627159892954368,6.08402172494270495803329725130e-10,7.36727280794394032012771344066e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,15,16,18,0.592746050544029585835809970864,4.39875282152752060128294343373e-10,5.03774240477397729523169381182e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,16,17,19,0.592746050803454769368846158695,3.12730354875296636216254086281e-10,3.36750944130336758305669379486e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,17,18,20,0.592746050959984750890831692409,2.15148240716900909981807218609e-10,2.19851696389174166429474325859e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6",9,18,19,21,0.592746051053772476266329679135,1.39424294740510256722060616347e-10,1.50998347265462507304875340629e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8",9,14,15,17,0.592746053575901705403737886122,4.23147367065724050011140200204e-10,5.99946126616089986913795001520e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8",9,15,16,18,0.592746053038943578745273263782,3.92857535092736678156787963527e-10,5.40834105504587408933346921984e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8",9,16,17,19,0.592746052644441359646878574050,3.67784682675861028803955567611e-10,4.92235106137794307074634012953e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8",9,17,18,20,0.592746052346979390130742503364,3.46708309718748738483375558887e-10,4.51846785727071586338335712541e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8",9,18,19,21,0.592746052117526218957965977872,3.28659462664346045297724528783e-10,4.17855391868712997166465618175e-10,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8,10",9,15,16,18,0.592746051074840798692225862255,1.84628363669353626044590343560e-11,2.74101365372412796794316013930e-11,audit_dps160_nmin09_h03.json
160,9,3,"4,6,8,10",9,16,17,19,0.592746051038406613500622150674,1.90308808681938291763888565303e-11,2.76292696466052180173469120210e-11,audit_dps160_nmin09_h03.json
